knr2017,AAR,ART,prod,nytidutm,beitekom,utmar,totareal,VEKTFE,VEKTCH,ANDAD,ANDCH,NYPROD,ADPROD,CHPROD,METAD,METOFF,METADANT,METOFFANT,METBEITAD,METBEITOFF,TOTBEITE,LNTOTBEITE,TOTBAR
101.00,1949,sau,578.60,58.00,1.08,535.04,596.72,83,42,0.33,0.66,625.725792,206.4895114,412.9790227,27.49847245,16.49821534,5678.146139,6813.416847,329332.4761,395178.1771,724510.6532,,1354.124277
104.00,1949,sau,39.90,51.00,0.30,50.12,57.78,83,42,0.33,0.66,11.97,3.9501,7.9002,27.49847245,16.49821534,108.621716,130.3392008,5539.707517,6647.299241,12187.00676,,243.1565594
105.00,1949,sau,375.30,51.00,1.00,288.05,370.26,83,42,0.33,0.66,375.3,123.849,247.698,27.49847245,16.49821534,3405.658314,4086.574943,173688.574,208415.3221,382103.8961,,1326.519341
106.00,1949,sau,409.50,51.00,1.00,210.44,281.97,83,42,0.33,0.66,409.5,135.135,270.27,27.49847245,16.49821534,3716.006074,4458.972659,189516.3098,227407.6056,416923.9154,,1981.200891
111.00,1949,sau,232.80,51.00,1.12,83.92,87.74,83,42,0.33,0.66,260.6453407,86.01296243,172.0259249,27.49847245,16.49821534,2365.225078,2838.120752,120626.479,144744.1584,265370.6373,,3162.185859
118.00,1949,sau,180.50,72.00,1.07,264.42,284.92,83,42,0.33,0.66,193.6805273,63.91457401,127.829148,27.49847245,16.49821534,1757.553153,2108.952811,126543.827,151844.6024,278388.4294,,1052.826675
119.00,1949,sau,361.00,72.00,1.00,326.62,367.65,83,42,0.33,0.66,361,119.13,238.26,27.49847245,16.49821534,3275.893023,3930.864786,235864.2977,283022.2646,518886.5623,,1588.655203
121.00,1949,sau,305.00,72.00,1.00,156.30,159.40,83,42,0.33,0.66,305,100.65,201.3,27.49847245,16.49821534,2767.721252,3321.090748,199275.9301,239118.5338,438394.464,,2804.827025
122.00,1949,sau,192.90,51.00,0.19,121.27,187.70,83,42,0.33,0.66,37.45631063,12.36058251,24.72116501,27.49847245,16.49821534,339.8971375,407.8551038,17334.75401,20800.61029,38135.36431,,314.4665977
123.00,1949,sau,141.60,51.00,1.56,96.12,134.01,83,42,0.33,0.66,220.5978948,72.79730527,145.5946105,27.49847245,16.49821534,2001.814693,2402.051237,102092.5494,122504.6131,224597.1624,,2336.632984
124.00,1949,sau,119.70,51.00,2.01,39.16,66.21,83,42,0.33,0.66,240.327907,79.3082093,158.6164186,27.49847245,16.49821534,2180.854609,2616.88783,111223.585,133461.2793,244684.8644,,6248.33668
125.00,1949,sau,263.20,51.00,1.11,151.91,229.55,83,42,0.33,0.66,291.8558097,96.31241721,192.6248344,27.49847245,16.49821534,2648.444351,3177.965998,135070.6619,162076.2659,297146.9278,,1956.072199
127.00,1949,sau,97.90,51.00,1.00,56.69,93.07,83,42,0.33,0.66,97.9,32.307,64.614,27.49847245,16.49821534,888.3931494,1066.015686,45308.05062,54366.79998,99674.8506,,1758.243969
128.00,1949,sau,435.10,51.00,0.80,306.31,419.78,83,42,0.33,0.66,348.3145554,114.9438033,229.8876066,27.49847245,16.49821534,3160.779008,3792.735237,161199.7294,193429.4971,354629.2265,,1157.746161
135.00,1949,sau,134.00,51.00,3.41,69.64,104.69,83,42,0.33,0.66,457.3478261,150.9247826,301.8495652,27.49847245,16.49821534,4150.200976,4979.979126,211660.2498,253978.9354,465639.1852,,6686.375434
136.00,1949,sau,89.30,51.00,2.20,42.12,69.17,83,42,0.33,0.66,196.46,64.8318,129.6636,27.49847245,16.49821534,1782.775466,2139.217994,90921.54877,109100.1177,200021.6665,,4748.852481
137.00,1949,sau,186.20,51.00,5.33,203.09,238.79,83,42,0.33,0.66,993.0666666,327.712,655.424,27.49847245,16.49821534,9011.579403,10813.32629,459590.5495,551479.6407,1011070.19,,4978.434144
138.00,1949,sau,145.40,51.00,0.00,109.54,139.54,83,42,0.33,0.66,0,0,0,27.49847245,16.49821534,0,0,0,0,0,,0
211.00,1949,sau,76.00,84.00,0.17,94.87,133.28,83,42,0.33,0.66,12.66666669,4.180000008,8.360000017,27.49847245,16.49821534,114.9436151,137.9250805,9655.263666,11585.70676,21240.97043,,223.8955458
213.00,1949,sau,115.90,84.00,1.00,127.46,162.08,83,42,0.33,0.66,115.9,38.247,76.494,27.49847245,16.49821534,1051.734076,1262.014484,88345.66237,106009.2167,194354.879,,1524.830371
214.00,1949,sau,153.00,84.00,1.00,61.32,101.00,83,42,0.33,0.66,153,50.49,100.98,27.49847245,16.49821534,1388.397874,1665.989785,116625.4214,139943.1419,256568.5633,,4184.092683
215.00,1949,sau,36.10,84.00,0.13,71.11,86.54,83,42,0.33,0.66,4.5125,1.489125,2.97825,27.49847245,16.49821534,40.94866279,49.13580983,3439.687674,4127.408026,7567.0957,,106.413946
216.00,1949,sau,3.80,84.00,1.00,53.73,59.56,83,42,0.33,0.66,3.8,1.254,2.508,27.49847245,16.49821534,34.48308445,41.37752407,2896.579094,3475.712022,6372.291116,,118.5983829
217.00,1949,sau,19.00,84.00,1.00,31.98,34.27,83,42,0.33,0.66,19,6.27,12.54,27.49847245,16.49821534,172.4154223,206.8876203,14482.89547,17378.56011,31861.45558,,996.29317
219.00,1949,sau,439.90,84.00,0.96,169.00,189.13,83,42,0.33,0.66,423.9690422,139.9097839,279.8195678,27.49847245,16.49821534,3847.305339,4616.523486,323173.6484,387787.9728,710961.6212,,4206.873499
220.00,1949,sau,385.70,84.00,1.03,84.84,96.97,83,42,0.33,0.66,396.5140186,130.8496261,261.6992523,27.49847245,16.49821534,3598.16484,4317.570618,302245.8465,362675.9319,664921.7784,,7837.361839
221.00,1949,sau,1115.30,95.00,0.94,796.95,896.74,83,42,0.33,0.66,1051.733678,347.0721139,694.1442277,27.49847245,16.49821534,9543.952961,11452.14094,906675.5313,1087953.39,1994628.921,,2502.828184
226.00,1949,sau,562.40,89.50,0.02,124.53,198.91,83,42,0.33,0.66,9.888351883,3.263156121,6.526312243,27.49847245,16.49821534,89.73180871,107.6725047,8030.996879,9636.689175,17667.68605,,141.8749382
