art,knr2017,xftot,kommune2017,fylkesnr,aar,region,bestv,NT,kalvprs,okseprs,kuprs,okseavad,sum,kalvprku,svekt_o,svekt_ku,svekt_ka,oksevekt,kuvekt,kalvvekt,moksev,mkuv,mkalvv,skalvvekt,vkalvvekt,mskalvv,mvkalvv,LANDKAT,ALTREG,reg,kommune,bestandsvekst,vinterbest,snittbest,lnfelt,lnvbest,hrate,Høstingsrate,Tilvekstrate,antkg,antmkg,utmar,TOTBAR
hjort,101,0,Halden,1,1949,5,0.117,0.223684211,0.24,0.3496,0.4104,0.46,1,0.584795322,80,62,30,144,107.0909091,48,41.56921938,33.2900505,18.23605646,21.81818182,54.54545455,10.09517652,20.07099598,SENorway,inlandlow,2,Halden,0.124105793,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,535.04,#NULL!
hjort,104,0,Moss,1,1949,5,0.117,0.223684211,0.24,0.3496,0.4104,0.46,1,0.584795322,80,62,30,144,107.0909091,48,41.56921938,33.2900505,18.23605646,21.81818182,54.54545455,10.09517652,20.07099598,SENorway,inlandlow,2,Moss,0.124105793,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,50.12,#NULL!
hjort,105,0,Sarpsborg,1,1949,5,0.117,0.223684211,0.24,0.3496,0.4104,0.46,1,0.584795322,80,62,30,144,107.0909091,48,41.56921938,33.2900505,18.23605646,21.81818182,54.54545455,10.09517652,20.07099598,SENorway,inlandlow,2,Sarpsborg,0.124105793,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,288.05,#NULL!
hjort,106,0,Fredrikstad,1,1949,5,0.117,0.223684211,0.24,0.3496,0.4104,0.46,1,0.584795322,80,62,30,144,107.0909091,48,41.56921938,33.2900505,18.23605646,21.81818182,54.54545455,10.09517652,20.07099598,SENorway,inlandlow,2,Fredrikstad,0.124105793,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,210.44,#NULL!
hjort,111,0,Hvaler,1,1949,5,0.117,0.223684211,0.24,0.3496,0.4104,0.46,1,0.584795322,80,62,30,144,107.0909091,48,41.56921938,33.2900505,18.23605646,21.81818182,54.54545455,10.09517652,20.07099598,SENorway,inlandlow,2,Hvaler,0.124105793,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,83.92,#NULL!
hjort,118,0,Aremark,1,1949,5,0.117,0.223684211,0.24,0.3496,0.4104,0.46,1,0.584795322,80,62,30,144,107.0909091,48,41.56921938,33.2900505,18.23605646,21.81818182,54.54545455,10.09517652,20.07099598,SENorway,inlandlow,2,Aremark,0.124105793,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,264.42,#NULL!
hjort,119,0,Marker,1,1949,5,0.117,0.223684211,0.24,0.3496,0.4104,0.46,1,0.584795322,80,62,30,144,107.0909091,48,41.56921938,33.2900505,18.23605646,21.81818182,54.54545455,10.09517652,20.07099598,SENorway,inlandlow,2,Marker,0.124105793,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,326.62,#NULL!
hjort,121,0,Rømskog,1,1949,5,0.117,0.223684211,0.24,0.3496,0.4104,0.46,1,0.584795322,80,62,30,144,107.0909091,48,41.56921938,33.2900505,18.23605646,21.81818182,54.54545455,10.09517652,20.07099598,SENorway,inlandlow,2,Rømskog,0.124105793,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,156.3,#NULL!
hjort,122,0,Trøgstad,1,1949,5,0.117,0.223684211,0.24,0.3496,0.4104,0.46,1,0.584795322,80,62,30,144,107.0909091,48,41.56921938,33.2900505,18.23605646,21.81818182,54.54545455,10.09517652,20.07099598,SENorway,inlandlow,2,Trøgstad,0.124105793,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,121.27,#NULL!
hjort,123,0,Spydeberg,1,1949,5,0.117,0.223684211,0.24,0.3496,0.4104,0.46,1,0.584795322,80,62,30,144,107.0909091,48,41.56921938,33.2900505,18.23605646,21.81818182,54.54545455,10.09517652,20.07099598,SENorway,inlandlow,2,Spydeberg,0.124105793,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,96.12,#NULL!
