knr2017,AAR,ART,prod,nytidutm,utmar,totareal,VEKTFE,VEKTCH,ANDAD,ANDCH,ADPROD,CHPROD,METAD,METOFF,METADANT,METOFFANT,METBEITAD,METBEITOFF,TOTBEITE,LNTOTBEITE,TOTBAR
533.00,1949,kyr,2000.70,44.00,245.36,273.16,514,,1,,,,107.9499236,0,215975.4121,,9502918.133,,,,38730.51081
534.00,1949,kyr,4858.30,44.00,582.39,659.57,514,,1,,,,107.9499236,0,524453.1138,,23075937.01,,,,39622.82492
536.00,1949,kyr,2207.80,62.00,635.76,661.35,514,,1,,,,107.9499236,0,238331.8413,,14776574.16,,,,23242.37788
538.00,1949,kyr,2965.00,62.00,886.56,928.23,514,,1,,,,107.9499236,0,320071.5234,,19844434.45,,,,22383.63388
540.00,1949,kyr,1992.20,95.00,1049.82,1071.12,514,,1,,,,107.9499236,0,215057.8378,,20430494.59,,,,19460.95006
541.00,1949,kyr,1018.40,95.00,429.58,444.58,514,,1,,,,107.9499236,0,109936.2022,,10443939.21,,,,24311.9773
542.00,1949,kyr,3033.40,95.00,819.44,855.65,514,,1,,,,107.9499236,0,327455.2982,,31108253.33,,,,37962.82013
543.00,1949,kyr,2300.00,95.00,390.64,421.04,514,,1,,,,107.9499236,0,248284.8242,,23587058.3,,,,60380.55064
544.00,1949,kyr,2268.60,95.00,853.96,882.26,514,,1,,,,107.9499236,0,244895.1966,,23265043.68,,,,27243.71596
545.00,1949,kyr,1972.20,95.00,1293.26,1313.76,514,,1,,,,107.9499236,0,212898.8393,,20225389.73,,,,15639.07469
602.00,1949,kyr,1003.20,30.00,119.92,134.65,514,,1,,,,107.9499236,0,108295.3633,,3248860.9,,,,27091.9021
604.00,1949,kyr,1743.30,58.00,718.35,756.52,514,,1,,,,107.9499236,0,188189.1018,,10914967.9,,,,15194.49837
605.00,1949,kyr,4610.40,54.50,1352.75,1428.52,514,,1,,,,107.9499236,0,497692.3277,,27124231.86,,,,20051.17861
612.00,1949,kyr,900.60,50.00,111.50,133.70,514,,1,,,,107.9499236,0,97219.70118,,4860985.059,,,,43596.27856
615.00,1949,kyr,536.80,68.00,663.79,670.69,514,,1,,,,107.9499236,0,57947.51898,,3940431.291,,,,5936.261906
616.00,1949,kyr,1204.60,100.00,761.30,775.60,514,,1,,,,107.9499236,0,130036.478,,13003647.8,,,,17080.84565
617.00,1949,kyr,1575.10,100.00,495.24,516.32,514,,1,,,,107.9499236,0,170031.9246,,17003192.46,,,,34333.23735
618.00,1949,kyr,1450.70,100.00,695.15,714.75,514,,1,,,,107.9499236,0,156602.9541,,15660295.41,,,,22527.93701
619.00,1949,kyr,2410.20,100.00,1056.21,1088.16,514,,1,,,,107.9499236,0,260180.9058,,26018090.58,,,,24633.44466
620.00,1949,kyr,1461.10,100.00,1672.39,1688.99,514,,1,,,,107.9499236,0,157725.6334,,15772563.34,,,,9431.151427
621.00,1949,kyr,2365.50,68.00,779.61,812.61,514,,1,,,,107.9499236,0,255355.5442,,17364177.01,,,,22272.90185
622.00,1949,kyr,886.40,68.00,332.05,341.35,514,,1,,,,107.9499236,0,95686.81227,,6506703.234,,,,19595.55258
623.00,1949,kyr,3522.60,50.00,409.50,461.18,514,,1,,,,107.9499236,0,380264.4008,,19013220.04,,,,46430.32977
624.00,1949,kyr,2670.50,50.00,369.09,421.86,514,,1,,,,107.9499236,0,288280.2709,,14414013.55,,,,39052.84225
625.00,1949,kyr,571.90,50.00,103.57,112.56,514,,1,,,,107.9499236,0,61736.5613,,3086828.065,,,,29804.26827
626.00,1949,kyr,3055.20,38.00,243.58,284.00,514,,1,,,,107.9499236,0,329808.6065,,12532727.05,,,,51452.20071
627.00,1949,kyr,1068.80,38.00,94.22,111.04,514,,1,,,,107.9499236,0,115376.8783,,4384321.376,,,,46532.81019
628.00,1949,kyr,819.90,38.00,143.13,156.85,514,,1,,,,107.9499236,0,88508.14235,,3363309.409,,,,23498.28414
631.00,1949,kyr,2296.20,68.00,526.59,538.19,514,,1,,,,107.9499236,0,247874.6145,,16855473.79,,,,32008.72365
632.00,1949,kyr,759.10,68.00,419.80,429.60,514,,1,,,,107.9499236,0,81944.78699,,5572245.516,,,,13273.57198
633.00,1949,kyr,1440.20,100.00,2260.74,2278.94,514,,1,,,,107.9499236,0,155469.4799,,15546947.99,,,,6876.928791
701.00,1949,kyr,1366.10,22.00,45.98,67.46,514,,1,,,,107.9499236,0,147470.3906,,3244348.593,,,,70559.99551
702.00,1949,kyr,1197.00,22.00,63.84,83.78,514,,1,,,,107.9499236,0,129216.0585,,2842753.288,,,,44529.34348
704.00,1949,kyr,2134.70,22.00,61.59,104.80,514,,1,,,,107.9499236,0,230440.7019,,5069695.441,,,,82313.61327
709.00,1949,kyr,4645.50,22.00,418.12,496.60,514,,1,,,,107.9499236,0,501481.37,,11032590.14,,,,26386.18134
710.00,1949,kyr,5462.60,22.00,310.06,417.50,514,,1,,,,107.9499236,0,589687.2526,,12973119.56,,,,41840.67457
711.00,1949,kyr,383.80,22.00,52.12,55.96,514,,1,,,,107.9499236,0,41431.18067,,911485.9748,,,,17488.21901
713.00,1949,kyr,1679.60,22.00,140.34,173.90,514,,1,,,,107.9499236,0,181312.6917,,3988879.216,,,,28422.9672
714.00,1949,kyr,980.40,22.00,134.14,148.51,514,,1,,,,107.9499236,0,105834.1051,,2328350.312,,,,17357.61378
716.00,1949,kyr,3928.30,22.00,125.10,224.00,514,,1,,,,107.9499236,0,424059.6848,,9329313.066,,,,74574.84465
722.00,1949,kyr,640.30,22.00,46.68,59.23,514,,1,,,,107.9499236,0,69120.33607,,1520647.394,,,,32575.99386
723.00,1949,kyr,279.30,22.00,34.80,37.54,514,,1,,,,107.9499236,0,30150.41366,,663309.1005,,,,19060.60634
728.00,1949,kyr,1430.70,22.00,249.26,271.66,514,,1,,,,107.9499236,0,154443.9557,,3397767.025,,,,13631.41709
805.00,1949,kyr,807.50,40.00,150.12,157.53,514,,1,,,,107.9499236,0,87169.5633,,3486782.532,,,,23226.63557
806.00,1949,kyr,4387.10,40.00,678.34,722.00,514,,1,,,,107.9499236,0,473587.1098,,18943484.39,,,,27926.23816
807.00,1949,kyr,1974.10,40.00,831.77,851.07,514,,1,,,,107.9499236,0,213103.9442,,8524157.766,,,,10248.21497
811.00,1949,kyr,652.70,40.00,197.76,204.66,514,,1,,,,107.9499236,0,70458.91512,,2818356.605,,,,14251.39869
814.00,1949,kyr,1060.20,40.00,271.05,280.53,514,,1,,,,107.9499236,0,114448.509,,4577940.359,,,,16889.65268
815.00,1949,kyr,837.90,40.00,286.75,290.75,514,,1,,,,107.9499236,0,90451.24097,,3618049.639,,,,12617.43553
817.00,1949,kyr,1042.20,40.00,986.57,998.27,514,,1,,,,107.9499236,0,112505.4104,,4500216.414,,,,4561.477051
819.00,1949,kyr,2257.20,40.00,361.62,390.21,514,,1,,,,107.9499236,0,243664.5675,,9746582.701,,,,26952.55434
821.00,1949,kyr,1689.10,40.00,237.43,261.30,514,,1,,,,107.9499236,0,182338.2159,,7293528.637,,,,30718.64818
822.00,1949,kyr,1830.70,40.00,261.44,286.44,514,,1,,,,107.9499236,0,197623.9251,,7904957.004,,,,30236.21865
826.00,1949,kyr,1408.90,70.00,1900.86,1914.48,514,,1,,,,107.9499236,0,152090.6473,,10646345.31,,,,5600.804538
827.00,1949,kyr,1167.60,70.00,737.59,749.69,514,,1,,,,107.9499236,0,126042.3308,,8822963.154,,,,11961.88012
828.00,1949,kyr,1157.10,70.00,657.48,670.28,514,,1,,,,107.9499236,0,124908.8566,,8743619.961,,,,13298.68583
829.00,1949,kyr,1081.10,70.00,617.65,627.14,514,,1,,,,107.9499236,0,116704.6624,,8169326.367,,,,13226.46542
830.00,1949,kyr,444.60,70.00,784.41,788.71,514,,1,,,,107.9499236,0,47994.53603,,3359617.522,,,,4282.986604
831.00,1949,kyr,570.00,40.00,1126.02,1132.62,514,,1,,,,107.9499236,0,61531.45644,,2461258.258,,,,2185.803323
833.00,1949,kyr,1037.40,70.00,920.74,931.54,514,,1,,,,107.9499236,0,111987.2507,,7839107.551,,,,8513.920923
834.00,1949,kyr,1466.80,70.00,2912.57,2929.17,514,,1,,,,107.9499236,0,158340.9479,,11083866.35,,,,3805.527886
901.00,1949,kyr,0.00,36.00,171.43,175.25,514,,1,,,,107.9499236,0,0,,0,,,,0
904.00,1949,kyr,1645.40,36.00,254.04,273.53,514,,1,,,,107.9499236,0,177620.8043,,6394348.954,,,,25170.6383
906.00,1949,kyr,2101.40,36.00,235.13,253.79,514,,1,,,,107.9499236,0,226845.9694,,8166454.899,,,,34731.65865
911.00,1949,kyr,688.80,58.00,308.84,314.64,514,,1,,,,107.9499236,0,74355.90737,,4312642.627,,,,13964.00281
912.00,1949,kyr,496.90,58.00,318.60,321.70,514,,1,,,,107.9499236,0,53640.31703,,3111138.388,,,,9765.029466
914.00,1949,kyr,1234.10,36.00,198.56,204.47,514,,1,,,,107.9499236,0,133221.0007,,4795956.025,,,,24153.68667
919.00,1949,kyr,840.80,58.00,601.90,608.80,514,,1,,,,107.9499236,0,90764.29575,,5264329.154,,,,8746.185668
926.00,1949,kyr,693.50,36.00,167.62,174.46,514,,1,,,,107.9499236,0,74863.27201,,2695077.792,,,,16078.49775
928.00,1949,kyr,832.20,58.00,621.70,632.70,514,,1,,,,107.9499236,0,89835.92641,,5210483.732,,,,8381.025787
929.00,1949,kyr,656.50,70.00,1079.87,1088.77,514,,1,,,,107.9499236,0,70869.12483,,4960838.738,,,,4593.922174
935.00,1949,kyr,893.00,76.00,242.48,246.18,514,,1,,,,107.9499236,0,96399.28176,,7326345.414,,,,30214.22556
937.00,1949,kyr,958.60,76.00,519.52,529.42,514,,1,,,,107.9499236,0,103480.7967,,7864540.553,,,,15138.09007
938.00,1949,kyr,699.20,76.00,1178.77,1186.27,514,,1,,,,107.9499236,0,75478.58657,,5736372.579,,,,4866.405303
940.00,1949,kyr,827.50,76.00,1160.72,1169.82,514,,1,,,,107.9499236,0,89328.56177,,6788970.694,,,,5848.930573
941.00,1949,kyr,279.30,76.00,1303.51,1305.41,514,,1,,,,107.9499236,0,30150.41366,,2291431.438,,,,1757.893256
1001.00,1949,kyr,1354.70,53.00,251.81,260.07,514,,1,,,,107.9499236,0,146239.7615,,7750707.359,,,,30779.98236
1002.00,1949,kyr,1630.20,54.67,196.73,208.41,514,,1,,,,107.9499236,0,175979.9654,,9620238.11,,,,48900.71728
1003.00,1949,kyr,2135.60,53.00,219.00,250.88,514,,1,,,,107.9499236,0,230537.8568,,12218506.41,,,,55792.26672
1004.00,1949,kyr,1292.00,54.25,467.01,479.90,514,,1,,,,107.9499236,0,139471.3013,,7566318.094,,,,16201.61901
1014.00,1949,kyr,1406.00,58.00,352.10,364.56,514,,1,,,,107.9499236,0,151777.5926,,8803100.369,,,,25001.70511
1017.00,1949,kyr,1113.40,58.00,197.24,206.90,514,,1,,,,107.9499236,0,120191.4449,,6971103.805,,,,35343.25596
1018.00,1949,kyr,750.50,53.00,136.34,141.54,514,,1,,,,107.9499236,0,81016.41765,,4293870.135,,,,31493.83993
1021.00,1949,kyr,1037.40,58.00,366.30,380.40,514,,1,,,,107.9499236,0,111987.2507,,6495260.542,,,,17732.07901
1026.00,1949,kyr,620.40,83.00,825.31,833.51,514,,1,,,,107.9499236,0,66972.13259,,5558687.005,,,,6735.271601
1027.00,1949,kyr,1492.50,58.00,227.36,238.56,514,,1,,,,107.9499236,0,161115.261,,9344685.135,,,,41100.83188
1029.00,1949,kyr,1795.50,54.67,283.98,298.28,514,,1,,,,107.9499236,0,193824.0878,,10595716.8,,,,37311.48954
1032.00,1949,kyr,1874.40,56.33,356.29,373.30,514,,1,,,,107.9499236,0,202341.3368,,11398561.97,,,,31992.3713
1034.00,1949,kyr,1034.60,70.50,409.89,424.59,514,,1,,,,107.9499236,0,111684.9909,,7873791.861,,,,19209.52417
1037.00,1949,kyr,2079.60,64.67,893.40,916.17,514,,1,,,,107.9499236,0,224492.6611,,14517192.08,,,,16249.37551
1046.00,1949,kyr,1333.80,74.67,1427.50,1439.60,514,,1,,,,107.9499236,0,143983.6081,,10750776.07,,,,7531.191643
1101.00,1949,kyr,3244.30,38.00,346.15,393.52,514,,1,,,,107.9499236,0,350221.9371,,13308433.61,,,,38447.01317
1102.00,1949,kyr,4783.30,30.00,204.96,283.67,514,,1,,,,107.9499236,0,516356.8695,,15490706.08,,,,75579.16708
1103.00,1949,kyr,4889.70,28.67,48.46,66.35,514,,1,,,,107.9499236,0,527842.7414,,15131491.92,,,,312247.0474
1106.00,1949,kyr,2224.90,34.00,60.04,67.54,514,,1,,,,107.9499236,0,240177.785,,8166044.69,,,,136010.0714
1111.00,1949,kyr,989.90,42.00,253.04,266.33,514,,1,,,,107.9499236,0,106859.6294,,4488104.433,,,,17736.73899
1112.00,1949,kyr,739.10,42.00,336.66,357.34,514,,1,,,,107.9499236,0,79785.78852,,3351003.118,,,,9953.67171
1114.00,1949,kyr,2049.20,42.00,535.97,586.37,514,,1,,,,107.9499236,0,221210.9834,,9290861.303,,,,17334.66669
1119.00,1949,kyr,6280.50,26.00,122.84,247.60,514,,1,,,,107.9499236,0,677979.4951,,17627466.87,,,,143499.4047
1120.00,1949,kyr,5519.50,26.00,23.74,105.52,514,,1,,,,107.9499236,0,595829.6032,,15491569.68,,,,652551.3767
1121.00,1949,kyr,3684.10,26.00,90.79,169.30,514,,1,,,,107.9499236,0,397698.3135,,10340156.15,,,,113890.9148
1122.00,1949,kyr,1799.30,34.00,518.39,561.30,514,,1,,,,107.9499236,0,194234.2975,,6603966.115,,,,12739.37791
1124.00,1949,kyr,3262.30,26.00,30.04,68.38,514,,1,,,,107.9499236,0,352165.0357,,9156290.929,,,,304803.2932
1127.00,1949,kyr,2058.70,26.00,7.75,23.81,514,,1,,,,107.9499236,0,222236.5077,,5778149.2,,,,745567.6387
1129.00,1949,kyr,967.10,42.00,699.14,711.74,514,,1,,,,107.9499236,0,104398.3711,,4384731.586,,,,6271.607384
1130.00,1949,kyr,1365.20,42.00,168.22,192.73,514,,1,,,,107.9499236,0,147373.2357,,6189675.899,,,,36795.12483
1133.00,1949,kyr,1466.80,42.00,973.64,1008.44,514,,1,,,,107.9499236,0,158340.9479,,6650319.812,,,,6830.368321
1134.00,1949,kyr,1869.60,40.00,1641.69,1673.19,514,,1,,,,107.9499236,0,201823.1771,,8072927.085,,,,4917.449144
1135.00,1949,kyr,557.70,42.00,498.83,507.30,514,,1,,,,107.9499236,0,60203.67238,,2528554.24,,,,5068.96987
1141.00,1949,kyr,2078.60,30.67,63.86,104.46,514,,1,,,,107.9499236,0,224384.7112,,6881131.142,,,,107753.3846
1142.00,1949,kyr,1867.70,29.00,25.52,64.92,514,,1,,,,107.9499236,0,201618.0723,,5846924.096,,,,229111.4458
1144.00,1949,kyr,141.60,29.00,3.13,5.73,514,,1,,,,107.9499236,0,15285.70918,,443285.5662,,,,141624.7815
1145.00,1949,kyr,368.60,34.00,37.15,44.95,514,,1,,,,107.9499236,0,39790.34183,,1352871.622,,,,36416.46359
1146.00,1949,kyr,1630.20,31.50,341.25,392.75,514,,1,,,,107.9499236,0,175979.9654,,5543368.911,,,,16244.3045
1149.00,1949,kyr,3469.40,34.00,166.71,217.41,514,,1,,,,107.9499236,0,374521.4649,,12733729.81,,,,76382.51938
1151.00,1949,kyr,82.70,34.00,5.14,6.14,514,,1,,,,107.9499236,0,8927.458681,,303533.5951,,,,59053.22863
1160.00,1949,kyr,5011.30,53.85,505.29,610.19,514,,1,,,,107.9499236,0,540969.4521,,29131204.99,,,,57652.4471
1201.00,1949,kyr,4597.10,59.00,410.34,444.68,514,,1,,,,107.9499236,0,496256.5937,,29279139.03,,,,71353.36314
1211.00,1949,kyr,2394.00,82.00,652.50,678.00,514,,1,,,,107.9499236,0,258432.1171,,21191433.6,,,,32477.29287
1216.00,1949,kyr,1305.30,59.00,200.30,224.00,514,,1,,,,107.9499236,0,140907.0353,,8313515.08,,,,41505.31742
1219.00,1949,kyr,1421.20,59.00,221.00,234.40,514,,1,,,,107.9499236,0,153418.4314,,9051687.453,,,,40957.86178
1221.00,1949,kyr,775.20,59.00,129.53,137.84,514,,1,,,,107.9499236,0,83682.78076,,4937284.065,,,,38116.9155
1222.00,1949,kyr,962.40,59.00,129.20,137.10,514,,1,,,,107.9499236,0,103891.0065,,6129569.381,,,,47442.48747
1223.00,1949,kyr,1521.00,59.00,232.68,245.08,514,,1,,,,107.9499236,0,164191.8338,,9687318.193,,,,41633.65219
1224.00,1949,kyr,3762.00,76.25,1052.75,1093.30,514,,1,,,,107.9499236,0,406107.6125,,30965705.46,,,,29414.1111
1227.00,1949,kyr,530.10,82.00,191.90,196.90,514,,1,,,,107.9499236,0,57224.25449,,4692388.868,,,,24452.26091
1228.00,1949,kyr,604.20,82.00,1578.44,1583.65,514,,1,,,,107.9499236,0,65223.34383,,5348314.194,,,,3388.354447
1231.00,1949,kyr,1213.20,82.00,1294.20,1307.80,514,,1,,,,107.9499236,0,130964.8473,,10739117.48,,,,8297.880913
