knr2017,AAR,ART,prod,nytidutm,utmar,totareal,VEKTFE,VEKTCH,ANDAD,ANDCH,ADPROD,CHPROD,METAD,METOFF,METADANT,METOFFANT,METBEITAD,METBEITOFF,TOTBEITE,LNTOTBEITE,TOTBAR
101.00,1949,kyr,3809.50,31.00,535.04,596.72,514,,1,,,,107.9499236,0,411235.2339,,12748292.25,,,,23826.8022
104.00,1949,kyr,437.00,21.00,50.12,57.78,514,,1,,,,107.9499236,0,47174.11661,,990656.4487,,,,19765.69132
105.00,1949,kyr,5113.90,21.00,288.05,370.26,514,,1,,,,107.9499236,0,552045.1142,,11592947.4,,,,40246.30237
106.00,1949,kyr,4738.60,21.00,210.44,281.97,514,,1,,,,107.9499236,0,511531.5079,,10742161.67,,,,51046.19685
111.00,1949,kyr,380.00,21.00,83.92,87.74,514,,1,,,,107.9499236,0,41020.97096,,861440.3902,,,,10265.01895
118.00,1949,kyr,1183.70,51.00,264.42,284.92,514,,1,,,,107.9499236,0,127780.3245,,6516796.552,,,,24645.62647
119.00,1949,kyr,2034.90,51.00,326.62,367.65,514,,1,,,,107.9499236,0,219667.2995,,11203032.27,,,,34299.89674
121.00,1949,kyr,226.10,51.00,156.30,159.40,514,,1,,,,107.9499236,0,24407.47772,,1244781.364,,,,7964.052232
122.00,1949,kyr,3439.00,21.00,121.27,187.70,514,,1,,,,107.9499236,0,371239.7872,,7796035.531,,,,64286.59628
123.00,1949,kyr,1688.20,21.00,96.12,134.01,514,,1,,,,107.9499236,0,182241.061,,3827062.281,,,,39815.46276
124.00,1949,kyr,1620.70,21.00,39.16,66.21,514,,1,,,,107.9499236,0,174954.4412,,3674043.264,,,,93821.32953
125.00,1949,kyr,4225.60,21.00,151.91,229.55,514,,1,,,,107.9499236,0,456153.1971,,9579217.139,,,,63058.50266
127.00,1949,kyr,1752.80,21.00,56.69,93.07,514,,1,,,,107.9499236,0,189214.6261,,3973507.147,,,,70091.85301
128.00,1949,kyr,5651.60,21.00,306.31,419.78,514,,1,,,,107.9499236,0,610089.7881,,12811885.55,,,,41826.53374
135.00,1949,kyr,1728.10,21.00,69.64,104.69,514,,1,,,,107.9499236,0,186548.2629,,3917513.522,,,,56253.78406
136.00,1949,kyr,1331.00,21.00,42.12,69.17,514,,1,,,,107.9499236,0,143681.3483,,3017308.314,,,,71635.99986
137.00,1949,kyr,1703.40,21.00,203.09,238.79,514,,1,,,,107.9499236,0,183881.8998,,3861519.897,,,,19013.83572
138.00,1949,kyr,1491.50,21.00,109.54,139.54,514,,1,,,,107.9499236,0,161007.311,,3381153.532,,,,30866.83889
211.00,1949,kyr,1673.90,36.00,94.87,133.28,514,,1,,,,107.9499236,0,180697.3771,,6505105.575,,,,68568.62628
213.00,1949,kyr,1772.70,36.00,127.46,162.08,514,,1,,,,107.9499236,0,191362.8295,,6889061.863,,,,54048.81424
214.00,1949,kyr,1646.40,36.00,61.32,101.00,514,,1,,,,107.9499236,0,177728.7542,,6398235.151,,,,104341.7344
215.00,1949,kyr,669.80,36.00,71.11,86.54,514,,1,,,,107.9499236,0,72304.85882,,2602974.917,,,,36604.90673
216.00,1949,kyr,362.90,36.00,53.73,59.56,514,,1,,,,107.9499236,0,39175.02727,,1410300.982,,,,26247.92447
217.00,1949,kyr,115.90,36.00,31.98,34.27,514,,1,,,,107.9499236,0,12511.39614,,450410.2612,,,,14084.12324
219.00,1949,kyr,1789.80,36.00,169.00,189.13,514,,1,,,,107.9499236,0,193208.7732,,6955515.836,,,,41156.89844
220.00,1949,kyr,865.50,36.00,84.84,96.97,514,,1,,,,107.9499236,0,93430.65886,,3363503.719,,,,39645.25836
221.00,1949,kyr,5289.60,50.00,796.95,896.74,514,,1,,,,107.9499236,0,571011.9158,,28550595.79,,,,35824.82689
226.00,1949,kyr,3861.80,43.00,124.53,198.91,514,,1,,,,107.9499236,0,416881.0149,,17925883.64,,,,143948.3148
227.00,1949,kyr,1391.80,36.00,110.56,137.77,514,,1,,,,107.9499236,0,150244.7036,,5408809.331,,,,48921.93679
228.00,1949,kyr,433.20,36.00,50.62,56.64,514,,1,,,,107.9499236,0,46763.9069,,1683500.648,,,,33257.6185
229.00,1949,kyr,2043.50,36.00,165.73,195.71,514,,1,,,,107.9499236,0,220595.6688,,7941444.078,,,,47917.96343
230.00,1949,kyr,620.40,36.00,60.83,67.47,514,,1,,,,107.9499236,0,66972.13259,,2410996.773,,,,39634.99545
231.00,1949,kyr,1354.70,36.00,50.68,75.01,514,,1,,,,107.9499236,0,146239.7615,,5264631.413,,,,103879.8621
233.00,1949,kyr,1274.90,36.00,165.15,180.48,514,,1,,,,107.9499236,0,137625.3576,,4954512.873,,,,30000.07795
234.00,1949,kyr,1602.70,36.00,55.95,81.95,514,,1,,,,107.9499236,0,173011.3425,,6228408.331,,,,111320.9711
235.00,1949,kyr,4485.90,36.00,161.13,249.93,514,,1,,,,107.9499236,0,484252.5622,,17433092.24,,,,108192.7154
236.00,1949,kyr,5723.80,36.00,470.97,611.35,514,,1,,,,107.9499236,0,617883.7726,,22243815.81,,,,47229.79344
237.00,1949,kyr,4049.90,43.00,334.90,387.02,514,,1,,,,107.9499236,0,437186.3955,,18799015.01,,,,56133.21889
238.00,1949,kyr,3164.50,36.00,273.70,324.70,514,,1,,,,107.9499236,0,341607.5332,,12297871.19,,,,44931.93714
239.00,1949,kyr,974.70,50.00,253.44,260.74,514,,1,,,,107.9499236,0,105218.7905,,5260939.526,,,,20758.12629
301.00,1949,kyr,1822.10,36.00,390.37,426.59,514,,1,,,,107.9499236,0,196695.5558,,7081040.008,,,,18139.30376
402.00,1949,kyr,1791.70,53.00,910.53,963.69,514,,1,,,,107.9499236,0,193413.8781,,10250935.54,,,,11258.20735
403.00,1949,kyr,2655.30,44.00,289.58,338.20,514,,1,,,,107.9499236,0,286639.4321,,12612135.01,,,,43553.19778
412.00,1949,kyr,10660.00,44.00,941.89,1124.80,514,,1,,,,107.9499236,0,1150746.185,,50632832.16,,,,53756.62992
415.00,1949,kyr,2609.70,44.00,314.76,362.51,514,,1,,,,107.9499236,0,281716.9156,,12395544.29,,,,39380.93876
417.00,1949,kyr,5109.10,44.00,539.87,640.73,514,,1,,,,107.9499236,0,551526.9546,,24267186,,,,44950.05465
418.00,1949,kyr,1855.40,62.00,447.68,473.48,514,,1,,,,107.9499236,0,200290.2882,,12417997.87,,,,27738.5585
419.00,1949,kyr,2799.70,62.00,413.61,478.01,514,,1,,,,107.9499236,0,302227.4011,,18738098.87,,,,45303.78585
420.00,1949,kyr,4629.40,62.00,567.33,605.27,514,,1,,,,107.9499236,0,499743.3762,,30984089.33,,,,54613.87434
423.00,1949,kyr,3242.40,62.00,711.45,777.75,514,,1,,,,107.9499236,0,350016.8322,,21701043.6,,,,30502.55619
425.00,1949,kyr,4050.80,62.00,905.84,1004.97,514,,1,,,,107.9499236,0,437283.5505,,27111580.13,,,,29929.76699
426.00,1949,kyr,1811.70,62.00,630.32,678.82,514,,1,,,,107.9499236,0,195572.8766,,12125518.35,,,,19237.0833
427.00,1949,kyr,3304.10,62.00,1162.40,1209.82,514,,1,,,,107.9499236,0,356677.3425,,22113995.24,,,,19024.42811
428.00,1949,kyr,3326.90,62.00,2925.19,2948.35,514,,1,,,,107.9499236,0,359138.6008,,22266593.25,,,,7612.016056
429.00,1949,kyr,1513.40,62.00,1277.20,1295.29,514,,1,,,,107.9499236,0,163371.4144,,10129027.69,,,,7930.651182
430.00,1949,kyr,1922.80,76.00,2109.51,2130.00,514,,1,,,,107.9499236,0,207566.1131,,15775024.59,,,,7478.051582
432.00,1949,kyr,1881.00,90.00,3042.83,3063.83,514,,1,,,,107.9499236,0,203053.8063,,18274842.56,,,,6005.870378
434.00,1949,kyr,1103.90,90.00,1906.91,1920.91,514,,1,,,,107.9499236,0,119165.9206,,10724932.86,,,,5624.247006
436.00,1949,kyr,1808.80,90.00,1066.95,1097.65,514,,1,,,,107.9499236,0,195259.8218,,17573383.96,,,,16470.67244
437.00,1949,kyr,4107.80,90.00,1764.56,1820.62,514,,1,,,,107.9499236,0,443436.6961,,39909302.65,,,,22617.14119
438.00,1949,kyr,1781.30,90.00,892.71,920.81,514,,1,,,,107.9499236,0,192291.1989,,17306207.9,,,,19386.14768
439.00,1949,kyr,1639.70,90.00,1231.51,1257.21,514,,1,,,,107.9499236,0,177005.4897,,15930494.07,,,,12935.74074
441.00,1949,kyr,1737.60,90.00,977.23,1007.43,514,,1,,,,107.9499236,0,187573.7872,,16881640.85,,,,17274.99243
501.00,1949,kyr,2710.40,69.50,413.89,447.03,514,,1,,,,107.9499236,0,292587.4729,,20334829.37,,,,49130.99946
502.00,1949,kyr,5065.40,48.50,559.75,630.88,514,,1,,,,107.9499236,0,546809.5429,,26520262.83,,,,47378.76343
511.00,1949,kyr,1925.70,95.00,1317.50,1347.00,514,,1,,,,107.9499236,0,207879.1678,,19748520.95,,,,14989.38971
512.00,1949,kyr,2512.80,95.00,2133.37,2174.17,514,,1,,,,107.9499236,0,271256.568,,25769373.96,,,,12079.18643
513.00,1949,kyr,1660.60,95.00,1954.55,1978.85,514,,1,,,,107.9499236,0,179261.6431,,17029856.1,,,,8712.929367
514.00,1949,kyr,1846.80,95.00,1848.30,1871.00,514,,1,,,,107.9499236,0,199361.9189,,18939382.29,,,,10246.92003
515.00,1949,kyr,2421.60,95.00,1239.69,1272.23,514,,1,,,,107.9499236,0,261411.535,,24834095.82,,,,20032.50476
516.00,1949,kyr,4901.10,95.00,1050.36,1096.57,514,,1,,,,107.9499236,0,529073.3705,,50261970.2,,,,47852.1366
517.00,1949,kyr,1105.80,95.00,856.34,892.22,514,,1,,,,107.9499236,0,119371.0255,,11340247.42,,,,13242.69265
519.00,1949,kyr,2180.30,95.00,666.75,702.25,514,,1,,,,107.9499236,0,235363.2184,,22359505.75,,,,33535.06674
520.00,1949,kyr,3637.60,95.00,1174.17,1222.30,514,,1,,,,107.9499236,0,392678.642,,37304470.99,,,,31770.92839
521.00,1949,kyr,2600.20,95.00,585.42,616.62,514,,1,,,,107.9499236,0,280691.3913,,26665682.17,,,,45549.66037
522.00,1949,kyr,4734.80,95.00,1083.44,1152.54,514,,1,,,,107.9499236,0,511121.2982,,48556523.33,,,,44816.9934
528.00,1949,kyr,6108.50,44.00,373.62,486.52,514,,1,,,,107.9499236,0,659412.1082,,29014132.76,,,,77656.79771
529.00,1949,kyr,3299.40,44.00,172.10,231.51,514,,1,,,,107.9499236,0,356169.9779,,15671479.03,,,,91060.30812
532.00,1949,kyr,942.40,44.00,179.16,194.74,514,,1,,,,107.9499236,0,101732.008,,4476208.351,,,,24984.41813
