knr2017,AAR,ART,prod,nytidutmg,utmar,totareal,VEKTMA,VEKTFE,VEKTCH,KVEKTCH,ANDAD,ANDCH,ADPROD,CHPROD,METAD,METOFF,METADANT,METOFFANT,METBEITAD,METBEITOFF,TOTBEITE,TOTBEITEDAG,LNTOTBEITE,TOTBAR,,LNTOTARDA,PERKMDAG
403,1949,moskus,0,360,289.58,338.2,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
412,1949,moskus,0,360,941.89,1124.8,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
415,1949,moskus,0,360,314.76,362.51,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
417,1949,moskus,0,360,539.87,640.73,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
418,1949,moskus,0,360,447.68,473.48,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
419,1949,moskus,0,360,413.61,478.01,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
420,1949,moskus,0,360,567.33,605.27,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
423,1949,moskus,0,360,711.45,777.75,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
425,1949,moskus,0,360,905.84,1004.97,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
426,1949,moskus,0,360,630.32,678.82,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
427,1949,moskus,0,360,1162.4,1209.82,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
428,1949,moskus,0,360,2925.19,2948.35,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
429,1949,moskus,0,360,1277.2,1295.29,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
430,1949,moskus,0,360,2109.51,2130,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
432,1949,moskus,0,360,3042.83,3063.83,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
434,1949,moskus,0,360,1906.91,1920.91,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
436,1949,moskus,0,360,1066.95,1097.65,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
437,1949,moskus,0,360,1764.56,1820.62,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
438,1949,moskus,0,360,892.71,920.81,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
439,1949,moskus,0,360,1231.51,1257.21,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
441,1949,moskus,0,360,977.23,1007.43,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
501,1949,moskus,0,360,413.89,447.03,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
502,1949,moskus,0,360,559.75,630.88,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
1511,1949,moskus,0,360,1317.5,1347,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
512,1949,moskus,0,360,2133.37,2174.17,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
513,1949,moskus,0,360,1954.55,1978.85,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
514,1949,moskus,0,360,1848.3,1871,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
515,1949,moskus,0,360,1239.69,1272.23,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
516,1949,moskus,0,360,1050.36,1096.57,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
517,1949,moskus,0,360,856.34,892.22,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
519,1949,moskus,0,360,666.75,702.25,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
520,1949,moskus,0,360,1174.17,1222.3,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
521,1949,moskus,0,360,585.42,616.62,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
522,1949,moskus,0,360,1083.44,1152.54,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
528,1949,moskus,0,360,373.62,486.52,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
529,1949,moskus,0,360,172.1,231.51,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
532,1949,moskus,0,360,179.16,194.74,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
533,1949,moskus,0,360,245.36,273.16,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
534,1949,moskus,0,360,582.39,659.57,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
536,1949,moskus,0,360,635.76,661.35,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
538,1949,moskus,0,360,886.56,928.23,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
540,1949,moskus,0,360,1049.82,1071.12,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
541,1949,moskus,0,360,429.58,444.58,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
542,1949,moskus,0,360,819.44,855.65,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
543,1949,moskus,0,360,390.64,421.04,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
544,1949,moskus,0,360,853.96,882.26,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
545,1949,moskus,0,360,1293.26,1313.76,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
602,1949,moskus,0,360,119.92,134.65,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
604,1949,moskus,0,360,718.35,756.52,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
605,1949,moskus,0,360,1352.75,1428.52,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
612,1949,moskus,0,360,111.5,133.7,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
615,1949,moskus,0,360,663.79,670.69,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
616,1949,moskus,0,360,761.3,775.6,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
617,1949,moskus,0,360,495.24,516.32,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
618,1949,moskus,0,360,695.15,714.75,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
619,1949,moskus,0,360,1056.21,1088.16,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
620,1949,moskus,0,360,1672.39,1688.99,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
621,1949,moskus,0,360,779.61,812.61,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
622,1949,moskus,0,360,332.05,341.35,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
623,1949,moskus,0,360,409.5,461.18,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
624,1949,moskus,0,360,369.09,421.86,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
625,1949,moskus,0,360,103.57,112.56,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
626,1949,moskus,0,360,243.58,284,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
627,1949,moskus,0,360,94.22,111.04,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
628,1949,moskus,0,360,143.13,156.85,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
631,1949,moskus,0,360,526.59,538.19,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
632,1949,moskus,0,360,419.8,429.6,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
633,1949,moskus,0,360,2260.74,2278.94,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
701,1949,moskus,0,360,45.98,67.46,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
702,1949,moskus,0,360,63.84,83.78,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
704,1949,moskus,0,360,61.59,104.8,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
709,1949,moskus,0,360,418.12,496.6,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
710,1949,moskus,0,360,310.06,417.5,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
711,1949,moskus,0,360,52.12,55.96,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
713,1949,moskus,0,360,140.34,173.9,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
714,1949,moskus,0,360,134.14,148.51,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
716,1949,moskus,0,360,125.1,224,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
722,1949,moskus,0,360,46.68,59.23,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
723,1949,moskus,0,360,34.8,37.54,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
728,1949,moskus,0,360,249.26,271.66,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
805,1949,moskus,0,360,150.12,157.53,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
806,1949,moskus,0,360,678.34,722,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
807,1949,moskus,0,360,831.77,851.07,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
811,1949,moskus,0,360,197.76,204.66,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
814,1949,moskus,0,360,271.05,280.53,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
815,1949,moskus,0,360,286.75,290.75,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
817,1949,moskus,0,360,986.57,998.27,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
819,1949,moskus,0,360,361.62,390.21,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
821,1949,moskus,0,360,237.43,261.3,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
822,1949,moskus,0,360,261.44,286.44,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
826,1949,moskus,0,360,1900.86,1914.48,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
827,1949,moskus,0,360,737.59,749.69,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
828,1949,moskus,0,360,657.48,670.28,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
829,1949,moskus,0,360,617.65,627.14,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
830,1949,moskus,0,360,784.41,788.71,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
831,1949,moskus,0,360,1126.02,1132.62,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
833,1949,moskus,0,360,920.74,931.54,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
834,1949,moskus,0,360,2912.57,2929.17,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
901,1949,moskus,0,360,171.43,175.25,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
904,1949,moskus,0,360,254.04,273.53,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
906,1949,moskus,0,360,235.13,253.79,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
911,1949,moskus,0,360,308.84,314.64,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
912,1949,moskus,0,360,318.6,321.7,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
914,1949,moskus,0,360,198.56,204.47,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
919,1949,moskus,0,360,601.9,608.8,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
926,1949,moskus,0,360,167.62,174.46,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
928,1949,moskus,0,360,621.7,632.7,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
929,1949,moskus,0,360,1079.87,1088.77,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
935,1949,moskus,0,360,242.48,246.18,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
937,1949,moskus,0,360,519.52,529.42,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
938,1949,moskus,0,360,1178.77,1186.27,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
940,1949,moskus,0,360,1160.72,1169.82,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
941,1949,moskus,0,360,1303.51,1305.41,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
1001,1949,moskus,0,360,251.81,260.07,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
1002,1949,moskus,0,360,196.73,208.41,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
1003,1949,moskus,0,360,219,250.88,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
1004,1949,moskus,0,360,467.01,479.9,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
1014,1949,moskus,0,360,352.1,364.56,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
1017,1949,moskus,0,360,197.24,206.9,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
1018,1949,moskus,0,360,136.34,141.54,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
1021,1949,moskus,0,360,366.3,380.4,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
1026,1949,moskus,0,360,825.31,833.51,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
1027,1949,moskus,0,360,227.36,238.56,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
1029,1949,moskus,0,360,283.98,298.28,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
1032,1949,moskus,0,360,356.29,373.3,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
1034,1949,moskus,0,360,409.89,424.59,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
1037,1949,moskus,0,360,893.4,916.17,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
1046,1949,moskus,0,360,1427.5,1439.6,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
1101,1949,moskus,0,360,346.15,393.52,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
1102,1949,moskus,0,360,204.96,283.67,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
1103,1949,moskus,0,360,48.46,66.35,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
1106,1949,moskus,0,360,60.04,67.54,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
1111,1949,moskus,0,360,253.04,266.33,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
1112,1949,moskus,0,360,336.66,357.34,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
1114,1949,moskus,0,360,535.97,586.37,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
1119,1949,moskus,0,360,122.84,247.6,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
1120,1949,moskus,0,360,23.74,105.52,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
1121,1949,moskus,0,360,90.79,169.3,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
1122,1949,moskus,0,360,518.39,561.3,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
1124,1949,moskus,0,360,30.04,68.38,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
1127,1949,moskus,0,360,7.75,23.81,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
1129,1949,moskus,0,360,699.14,711.74,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
1130,1949,moskus,0,360,168.22,192.73,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
1133,1949,moskus,0,360,973.64,1008.44,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
1134,1949,moskus,0,360,1641.69,1673.19,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
1135,1949,moskus,0,360,498.83,507.3,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
1141,1949,moskus,0,360,63.86,104.46,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
1142,1949,moskus,0,360,25.52,64.92,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
1144,1949,moskus,0,360,3.13,5.73,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
1145,1949,moskus,0,360,37.15,44.95,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
1146,1949,moskus,0,360,341.25,392.75,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
1149,1949,moskus,0,360,166.71,217.41,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
1151,1949,moskus,0,360,5.14,6.14,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
1160,1949,moskus,0,360,505.29,610.19,,400,200,0,0.6,0.4,0,0,89.4427191,53.18295897,0,0,0,0,0,,,0,,,
