knr2017,AAR,ART,prod,nytidutmh,utmar,totareal,VEKTFE,VEKTCH,KVEKTCH,ANDAD,ANDCH,ADPROD,CHPROD,METAD,METOFF,KMETOFF,METADANT,METOFFANT,METBEITAD,METBEITOFF,TOTBEITE,LNTOTBEITE,TOTBAR
101.00,1949,hest,1180.90,32.67,535.04,596.72,432,216,162,0.7,0.3,826.63,354.27,94.75732893,56.34304488,45.40840642,78329.25082,16086.83614,2558755.527,525503.314,3084258.841,,5764.538802
104.00,1949,hest,141.60,25.00,50.12,57.78,432,216,162,0.7,0.3,99.12,42.48,94.75732893,56.34304488,45.40840642,9392.346444,1928.949105,234808.6611,48223.72762,283032.3887,,5647.094747
105.00,1949,hest,1451.60,25.00,288.05,370.26,432,216,162,0.7,0.3,1016.12,435.48,94.75732893,56.34304488,45.40840642,96284.81707,19774.45283,2407120.427,494361.3207,2901481.748,,10072.84064
106.00,1949,hest,1422.20,25.00,210.44,281.97,432,216,162,0.7,0.3,995.54,426.66,94.75732893,56.34304488,45.40840642,94334.71125,19373.95068,2358367.781,484348.7671,2842716.548,,13508.44207
111.00,1949,hest,102.60,25.00,83.92,87.74,432,216,162,0.7,0.3,71.82,30.78,94.75732893,56.34304488,45.40840642,6805.471364,1397.67075,170136.7841,34941.76874,205078.5528,,2443.738714
118.00,1949,hest,380.00,48.00,264.42,284.92,432,216,162,0.7,0.3,266,114.00,94.75732893,56.34304488,45.40840642,25205.4495,5176.558332,1209861.576,248474.8,1458336.376,,5515.227198
119.00,1949,hest,730.60,48.00,326.62,367.65,432,216,162,0.7,0.3,511.42,219.18,94.75732893,56.34304488,45.40840642,48460.79316,9952.61452,2326118.072,477725.497,2803843.569,,8584.420944
121.00,1949,hest,94.10,48.00,156.30,159.40,432,216,162,0.7,0.3,65.87,28.23,94.75732893,56.34304488,45.40840642,6241.665257,1281.879313,299599.9323,61530.20704,361130.1394,,2310.493534
122.00,1949,hest,946.20,25.00,121.27,187.70,432,216,162,0.7,0.3,662.34,283.86,94.75732893,56.34304488,45.40840642,62761.56925,12889.63025,1569039.231,322240.7562,1891279.987,,15595.61299
123.00,1949,hest,602.30,25.00,96.12,134.01,432,216,162,0.7,0.3,421.61,180.69,94.75732893,56.34304488,45.40840642,39950.63745,8204.844957,998765.9363,205121.1239,1203887.06,,12524.83417
124.00,1949,hest,533.90,25.00,39.16,66.21,432,216,162,0.7,0.3,373.73,160.17,94.75732893,56.34304488,45.40840642,35413.65654,7273.064457,885341.4135,181826.6114,1067168.025,,27251.48174
125.00,1949,hest,1310.10,25.00,151.91,229.55,432,216,162,0.7,0.3,917.07,393.03,94.75732893,56.34304488,45.40840642,86899.10364,17846.86598,2172477.591,446171.6494,2618649.241,,17238.16234
127.00,1949,hest,522.50,25.00,56.69,93.07,432,216,162,0.7,0.3,365.75,156.75,94.75732893,56.34304488,45.40840642,34657.49306,7117.767707,866437.3264,177944.1927,1044381.519,,18422.67629
128.00,1949,hest,1569.40,25.00,306.31,419.78,432,216,162,0.7,0.3,1098.58,470.82,94.75732893,56.34304488,45.40840642,104098.5064,21379.18591,2602462.66,534479.6478,3136942.308,,10241.07051
135.00,1949,hest,558.60,25.00,69.64,104.69,432,216,162,0.7,0.3,391.02,167.58,94.75732893,56.34304488,45.40840642,37052.01076,7609.540748,926300.269,190238.5187,1116538.788,,16033.00959
136.00,1949,hest,515.90,25.00,42.12,69.17,432,216,162,0.7,0.3,361.13,154.77,94.75732893,56.34304488,45.40840642,34219.7142,7027.859062,855492.8549,175696.4766,1031189.331,,24482.17786
137.00,1949,hest,580.50,25.00,203.09,238.79,432,216,162,0.7,0.3,406.35,174.15,94.75732893,56.34304488,45.40840642,38504.64061,7907.873979,962616.0153,197696.8495,1160312.865,,5713.293933
138.00,1949,hest,456.00,25.00,109.54,139.54,432,216,162,0.7,0.3,319.2,136.80,94.75732893,56.34304488,45.40840642,30246.5394,6211.869999,756163.4849,155296.75,911460.2349,,8320.7982
211.00,1949,hest,580.50,39.00,94.87,133.28,432,216,162,0.7,0.3,406.35,174.15,94.75732893,56.34304488,45.40840642,38504.64061,7907.873979,1501680.984,308407.0852,1810088.069,,19079.66764
213.00,1949,hest,590.00,39.00,127.46,162.08,432,216,162,0.7,0.3,413,177.00,94.75732893,56.34304488,45.40840642,39134.77685,8037.287937,1526256.297,313454.2295,1839710.527,,14433.63037
214.00,1949,hest,512.10,39.00,61.32,101.00,432,216,162,0.7,0.3,358.47,153.63,94.75732893,56.34304488,45.40840642,33967.6597,6976.093479,1324738.728,272067.6457,1596806.374,,26040.54752
215.00,1949,hest,303.10,39.00,71.11,86.54,432,216,162,0.7,0.3,212.17,90.93,94.75732893,56.34304488,45.40840642,20104.66248,4128.986396,784081.8367,161030.4694,945112.3062,,13290.84947
216.00,1949,hest,131.10,39.00,53.73,59.56,432,216,162,0.7,0.3,91.77,39.33,94.75732893,56.34304488,45.40840642,8695.880076,1785.912625,339139.323,69650.59236,408789.9153,,7608.224741
