knr2017,AAR,ART,prod,nytidutmh,utmar,totareal,VEKTFE,VEKTCH,KVEKTCH,ANDAD,ANDCH,ADPROD,CHPROD,METAD,METOFF,KMETOFF,METADANT,METOFFANT,METBEITAD,METBEITOFF,TOTBEITE,LNTOTBEITE,TOTBAR
217.00,1949,hest,42.80,39.00,31.98,34.27,432,216,162,0.7,0.3,29.96,12.84,94.75732893,56.34304488,45.40840642,2838.929575,583.0439385,110718.2534,22738.7136,133456.967,,4173.138431
219.00,1949,hest,590.90,39.00,169.00,189.13,432,216,162,0.7,0.3,413.63,177.27,94.75732893,56.34304488,45.40840642,39194.47397,8049.548207,1528584.485,313932.3801,1842516.865,,10902.46666
220.00,1949,hest,361.00,39.00,84.84,96.97,432,216,162,0.7,0.3,252.7,108.30,94.75732893,56.34304488,45.40840642,23945.17702,4917.730416,933861.9038,191791.4862,1125653.39,,13267.95604
221.00,1949,hest,1634.00,47.00,796.95,896.74,432,216,162,0.7,0.3,1143.8,490.20,94.75732893,56.34304488,45.40840642,108383.4328,22259.20083,5094021.343,1046182.439,6140203.782,,7704.628624
226.00,1949,hest,924.40,43.00,124.53,198.91,432,216,162,0.7,0.3,647.08,277.32,94.75732893,56.34304488,45.40840642,61315.57241,12592.65927,2636569.613,541484.3486,3178053.962,,25520.38836
227.00,1949,hest,414.20,39.00,110.56,137.77,432,216,162,0.7,0.3,289.94,124.26,94.75732893,56.34304488,45.40840642,27473.93995,5642.448582,1071483.658,220055.4947,1291539.153,,11681.79407
228.00,1949,hest,129.20,39.00,50.62,56.64,432,216,162,0.7,0.3,90.44,38.76,94.75732893,56.34304488,45.40840642,8569.852829,1760.029833,334224.2603,68641.16349,402865.4238,,7958.621569
229.00,1949,hest,563.40,39.00,165.73,195.71,432,216,162,0.7,0.3,394.38,169.02,94.75732893,56.34304488,45.40840642,37370.39538,7674.928854,1457445.42,299322.2253,1756767.645,,10600.17888
230.00,1949,hest,170.10,39.00,60.83,67.47,432,216,162,0.7,0.3,119.07,51.03,94.75732893,56.34304488,45.40840642,11282.75516,2317.19098,440027.4511,90370.44821,530397.8993,,8719.34735
231.00,1949,hest,329.70,39.00,50.68,75.01,432,216,162,0.7,0.3,230.79,98.91,94.75732893,56.34304488,45.40840642,21869.04394,4491.345479,852892.7138,175162.4737,1028055.188,,20285.22469
233.00,1949,hest,355.30,39.00,165.15,180.48,432,216,162,0.7,0.3,248.71,106.59,94.75732893,56.34304488,45.40840642,23567.09528,4840.082041,919116.7159,188763.1996,1107879.915,,6708.325253
234.00,1949,hest,392.40,39.00,55.95,81.95,432,216,162,0.7,0.3,274.68,117.72,94.75732893,56.34304488,45.40840642,26027.94311,5345.477604,1015089.781,208473.6266,1223563.408,,21868.87235
235.00,1949,hest,1234.10,39.00,161.13,249.93,432,216,162,0.7,0.3,863.87,370.23,94.75732893,56.34304488,45.40840642,81858.01374,16811.55431,3192462.536,655650.6181,3848113.154,,23882.0403
236.00,1949,hest,1671.10,39.00,470.97,611.35,432,216,162,0.7,0.3,1169.77,501.33,94.75732893,56.34304488,45.40840642,110844.2807,22764.59639,4322926.946,887819.2593,5210746.205,,11063.86013
237.00,1949,hest,1067.80,43.00,334.90,387.02,432,216,162,0.7,0.3,747.46,320.34,94.75732893,56.34304488,45.40840642,70827.31308,14546.12891,3045574.463,625483.5433,3671058.006,,10961.65424
238.00,1949,hest,862.60,39.00,273.70,324.70,432,216,162,0.7,0.3,603.82,258.78,94.75732893,56.34304488,45.40840642,57216.37036,11750.78741,2231438.444,458280.7092,2689719.153,,9827.253025
239.00,1949,hest,228.00,47.00,253.44,260.74,432,216,162,0.7,0.3,159.6,68.40,94.75732893,56.34304488,45.40840642,15123.2697,3105.934999,710793.6758,145978.945,856772.6208,,3380.573788
301.00,1949,hest,1055.50,39.00,390.37,426.59,432,216,162,0.7,0.3,738.85,316.65,94.75732893,56.34304488,45.40840642,70011.45248,14378.57189,2730446.647,560764.3039,3291210.951,,8431.003793
402.00,1949,hest,659.30,49.50,910.53,963.69,432,216,162,0.7,0.3,461.51,197.79,94.75732893,56.34304488,45.40840642,43731.45488,8981.328707,2164707.016,444575.771,2609282.787,,2865.674703
403.00,1949,hest,614.70,48.00,289.58,338.20,432,216,162,0.7,0.3,430.29,184.41,94.75732893,56.34304488,45.40840642,40773.13107,8373.764229,1957110.291,401940.683,2359050.974,,8146.456848
412.00,1949,hest,2815.80,48.00,941.89,1124.80,432,216,162,0.7,0.3,1971.06,844.74,94.75732893,56.34304488,45.40840642,186772.3808,38358.29724,8965074.277,1841198.268,10806272.54,,11472.96664
415.00,1949,hest,612.80,48.00,314.76,362.51,432,216,162,0.7,0.3,428.96,183.84,94.75732893,56.34304488,45.40840642,40647.10382,8347.881437,1951060.983,400698.309,2351759.292,,7471.595159
417.00,1949,hest,1588.40,48.00,539.87,640.73,432,216,162,0.7,0.3,1111.88,476.52,94.75732893,56.34304488,45.40840642,105358.7789,21638.01383,5057221.387,1038624.664,6095846.051,,11291.32208
418.00,1949,hest,503.50,51.00,447.68,473.48,432,216,162,0.7,0.3,352.45,151.05,94.75732893,56.34304488,45.40840642,33397.22058,6858.93979,1703258.25,349805.9293,2053064.179,,4586.008263
419.00,1949,hest,981.40,51.00,413.61,478.01,432,216,162,0.7,0.3,686.98,294.42,94.75732893,56.34304488,45.40840642,65096.38983,13369.14302,3319915.881,681826.294,4001742.175,,9675.158181
420.00,1949,hest,1264.50,51.00,567.33,605.27,432,216,162,0.7,0.3,885.15,379.35,94.75732893,56.34304488,45.40840642,83874.4497,17225.67898,4277596.935,878509.6278,5156106.563,,9088.372839
423.00,1949,hest,937.70,51.00,711.45,777.75,432,216,162,0.7,0.3,656.39,281.31,94.75732893,56.34304488,45.40840642,62197.76314,12773.83881,3172085.92,651465.7794,3823551.699,,5374.308383
425.00,1949,hest,1100.10,51.00,905.84,1004.97,432,216,162,0.7,0.3,770.07,330.03,94.75732893,56.34304488,45.40840642,72969.77629,14986.13637,3721458.591,764292.955,4485751.546,,4952.035178
426.00,1949,hest,528.20,51.00,630.32,678.82,432,216,162,0.7,0.3,369.74,158.46,94.75732893,56.34304488,45.40840642,35035.5748,7195.416082,1786814.315,366966.2202,2153780.535,,3416.963661
427.00,1949,hest,625.10,51.00,1162.40,1209.82,432,216,162,0.7,0.3,437.57,187.53,94.75732893,56.34304488,45.40840642,41462.96442,8515.438457,2114611.185,434287.3613,2548898.547,,2192.789527
428.00,1949,hest,558.60,51.00,2925.19,2948.35,432,216,162,0.7,0.3,391.02,167.58,94.75732893,56.34304488,45.40840642,37052.01076,7609.540748,1889652.549,388086.5782,2277739.127,,778.6636516
429.00,1949,hest,377.20,51.00,1277.20,1295.29,432,216,162,0.7,0.3,264.04,113.16,94.75732893,56.34304488,45.40840642,25019.72513,5138.415271,1276005.982,262059.1788,1538065.161,,1204.247698
430.00,1949,hest,420.90,64.50,2109.51,2130.00,432,216,162,0.7,0.3,294.63,126.27,94.75732893,56.34304488,45.40840642,27918.35182,5733.719479,1800733.693,369824.9064,2170558.599,,1028.939706
432.00,1949,hest,381.90,78.00,3042.83,3063.83,432,216,162,0.7,0.3,267.33,114.57,94.75732893,56.34304488,45.40840642,25331.47674,5202.441124,1975855.186,405790.4077,2381645.594,,782.7074117
434.00,1949,hest,192.90,78.00,1906.91,1920.91,432,216,162,0.7,0.3,135.03,57.87,94.75732893,56.34304488,45.40840642,12795.08213,2627.78448,998016.4058,204967.1894,1202983.595,,630.8549408
436.00,1949,hest,417.10,78.00,1066.95,1097.65,432,216,162,0.7,0.3,291.97,125.13,94.75732893,56.34304488,45.40840642,27666.29733,5681.953896,2157971.192,443192.4039,2601163.595,,2437.943292
437.00,1949,hest,972.80,78.00,1764.56,1820.62,432,216,162,0.7,0.3,680.96,291.84,94.75732893,56.34304488,45.40840642,64525.95071,13251.98933,5033024.155,1033655.168,6066679.323,,3438.069164
438.00,1949,hest,414.20,78.00,892.71,920.81,432,216,162,0.7,0.3,289.94,124.26,94.75732893,56.34304488,45.40840642,27473.93995,5642.448582,2142967.316,440110.9894,2583078.306,,2893.524555
439.00,1949,hest,347.70,78.00,1231.51,1257.21,432,216,162,0.7,0.3,243.39,104.31,94.75732893,56.34304488,45.40840642,23062.98629,4736.550874,1798912.931,369450.9682,2168363.899,,1760.735925
441.00,1949,hest,359.10,78.00,977.23,1007.43,432,216,162,0.7,0.3,251.37,107.73,94.75732893,56.34304488,45.40840642,23819.14977,4891.847624,1857893.682,381564.1147,2239457.797,,2291.638403
501.00,1949,hest,739.10,61.50,413.89,447.03,432,216,162,0.7,0.3,517.37,221.73,94.75732893,56.34304488,45.40840642,49024.59927,10068.40596,3015012.855,619206.9663,3634219.821,,8780.641768
502.00,1949,hest,1411.70,51.75,559.75,630.88,432,216,162,0.7,0.3,988.19,423.51,94.75732893,56.34304488,45.40840642,93638.24488,19230.9142,4845779.172,995199.8101,5840978.983,,10434.97808
511.00,1949,hest,400.90,71.00,1317.50,1347.00,432,216,162,0.7,0.3,280.63,120.27,94.75732893,56.34304488,45.40840642,26591.74922,5461.269041,1888014.195,387750.1019,2275764.296,,1727.335329
512.00,1949,hest,565.30,71.00,2133.37,2174.17,432,216,162,0.7,0.3,395.71,169.59,94.75732893,56.34304488,45.40840642,37496.42263,7700.811645,2662246.007,546757.6268,3209003.634,,1504.1946
513.00,1949,hest,289.80,71.00,1954.55,1978.85,432,216,162,0.7,0.3,202.86,86.94,94.75732893,56.34304488,45.40840642,19222.47175,3947.806854,1364795.494,280294.2867,1645089.781,,841.6718839
514.00,1949,hest,319.20,71.00,1848.30,1871.00,432,216,162,0.7,0.3,223.44,95.76,94.75732893,56.34304488,45.40840642,21172.57758,4348.308999,1503253.008,308729.9389,1811982.947,,980.3511047
515.00,1949,hest,427.50,71.00,1239.69,1272.23,432,216,162,0.7,0.3,299.25,128.25,94.75732893,56.34304488,45.40840642,28356.13068,5823.628124,2013285.278,413477.5968,2426762.875,,1957.556224
516.00,1949,hest,972.80,71.00,1050.36,1096.57,432,216,162,0.7,0.3,680.96,291.84,94.75732893,56.34304488,45.40840642,64525.95071,13251.98933,4581342.5,940891.2425,5522233.743,,5257.467671
517.00,1949,hest,232.80,71.00,856.34,892.22,432,216,162,0.7,0.3,162.96,69.84,94.75732893,56.34304488,45.40840642,15441.65432,3171.323105,1096357.457,225163.9404,1321521.397,,1543.220447
519.00,1949,hest,464.60,71.00,666.75,702.25,432,216,162,0.7,0.3,325.22,139.38,94.75732893,56.34304488,45.40840642,30816.97852,6329.023687,2188005.475,449360.6818,2637366.156,,3955.55479
520.00,1949,hest,784.70,71.00,1174.17,1222.30,432,216,162,0.7,0.3,549.29,235.41,94.75732893,56.34304488,45.40840642,52049.25321,10689.59296,3695496.978,758961.0999,4454458.078,,3793.707962
521.00,1949,hest,554.80,71.00,585.42,616.62,432,216,162,0.7,0.3,388.36,166.44,94.75732893,56.34304488,45.40840642,36799.95626,7557.775165,2612796.895,536602.0367,3149398.931,,5379.72555
522.00,1949,hest,836.00,71.00,1083.44,1152.54,432,216,162,0.7,0.3,585.2,250.80,94.75732893,56.34304488,45.40840642,55451.98889,11388.42833,3937091.211,808578.4115,4745669.623,,4380.186833
528.00,1949,hest,1645.40,52.00,373.62,486.52,432,216,162,0.7,0.3,1151.78,493.62,94.75732893,56.34304488,45.40840642,109139.5963,22414.49758,5675259.009,1165553.874,6840812.883,,18309.54682
529.00,1949,hest,1005.10,52.00,172.10,231.51,432,216,162,0.7,0.3,703.57,301.53,94.75732893,56.34304488,45.40840642,66668.41392,13691.99679,3466757.524,711983.833,4178741.357,,24280.89109
532.00,1949,hest,316.40,52.00,179.16,194.74,432,216,162,0.7,0.3,221.48,94.92,94.75732893,56.34304488,45.40840642,20986.85321,4310.165938,1091316.367,224128.6288,1315444.996,,7342.291783
533.00,1949,hest,653.60,52.00,245.36,273.16,432,216,162,0.7,0.3,457.52,196.08,94.75732893,56.34304488,45.40840642,43353.37313,8903.680332,2254375.403,462991.3772,2717366.78,,11075.01948
534.00,1949,hest,1481.10,52.00,582.39,659.57,432,216,162,0.7,0.3,1036.77,444.33,94.75732893,56.34304488,45.40840642,98241.55592,20176.31723,5108560.908,1049168.496,6157729.403,,10573.20593
536.00,1949,hest,685.90,51.00,635.76,661.35,432,216,162,0.7,0.3,480.13,205.77,94.75732893,56.34304488,45.40840642,45495.83634,9343.68779,2320287.653,476528.0773,2796815.731,,4399.169074
538.00,1949,hest,769.50,51.00,886.56,928.23,432,216,162,0.7,0.3,538.65,230.85,94.75732893,56.34304488,45.40840642,51041.03523,10482.53062,2603092.797,534609.0618,3137701.858,,3539.187261
540.00,1949,hest,469.30,71.00,1049.82,1071.12,432,216,162,0.7,0.3,328.51,140.79,94.75732893,56.34304488,45.40840642,31128.73013,6393.04954,2210139.839,453906.5174,2664046.356,,2537.622027
541.00,1949,hest,293.60,71.00,429.58,444.58,432,216,162,0.7,0.3,205.52,88.08,94.75732893,56.34304488,45.40840642,19474.52624,3999.572438,1382691.363,283969.6431,1666661.006,,3879.745347
542.00,1949,hest,663.10,71.00,819.44,855.65,432,216,162,0.7,0.3,464.17,198.93,94.75732893,56.34304488,45.40840642,43983.50937,9033.09429,3122829.165,641349.6946,3764178.86,,4593.599116
543.00,1949,hest,488.30,71.00,390.64,421.04,432,216,162,0.7,0.3,341.81,146.49,94.75732893,56.34304488,45.40840642,32389.0026,6651.877457,2299619.185,472283.2994,2771902.484,,7095.797881
544.00,1949,hest,426.60,71.00,853.96,882.26,432,216,162,0.7,0.3,298.62,127.98,94.75732893,56.34304488,45.40840642,28296.43357,5811.367854,2009046.783,412607.1176,2421653.901,,2835.793129
545.00,1949,hest,386.70,71.00,1293.26,1313.76,432,216,162,0.7,0.3,270.69,116.01,94.75732893,56.34304488,45.40840642,25649.86137,5267.829229,1821140.157,374015.8753,2195156.032,,1697.381835
602.00,1949,hest,468.40,39.50,119.92,134.65,432,216,162,0.7,0.3,327.88,140.52,94.75732893,56.34304488,45.40840642,31069.03301,6380.789271,1227226.804,252041.1762,1479267.98,,12335.45681
604.00,1949,hest,588.10,57.00,718.35,756.52,432,216,162,0.7,0.3,411.67,176.43,94.75732893,56.34304488,45.40840642,39008.7496,8011.405145,2223498.727,456650.0933,2680148.821,,3730.979078
605.00,1949,hest,1607.40,56.75,1352.75,1428.52,432,216,162,0.7,0.3,1125.18,482.22,94.75732893,56.34304488,45.40840642,106619.0514,21896.84175,6050631.165,1242645.769,7293276.934,,5391.444786
612.00,1949,hest,312.60,55.00,111.50,133.70,432,216,162,0.7,0.3,218.82,93.78,94.75732893,56.34304488,45.40840642,20734.79872,4258.400354,1140413.929,234212.0195,1374625.949,,12328.48385
615.00,1949,hest,177.70,62.00,663.79,670.69,432,216,162,0.7,0.3,124.39,53.31,94.75732893,56.34304488,45.40840642,11786.86415,2420.722146,730785.577,150084.7731,880870.3501,,1327.031667
616.00,1949,hest,260.30,94.00,761.30,775.60,432,216,162,0.7,0.3,182.21,78.09,94.75732893,56.34304488,45.40840642,17265.7329,3545.942458,1622978.893,333318.591,1956297.484,,2569.680131
617.00,1949,hest,268.90,94.00,495.24,516.32,432,216,162,0.7,0.3,188.23,80.67,94.75732893,56.34304488,45.40840642,17836.17202,3663.096146,1676600.17,344331.0377,2020931.208,,4080.710783
618.00,1949,hest,233.70,94.00,695.15,714.75,432,216,162,0.7,0.3,163.59,70.11,94.75732893,56.34304488,45.40840642,15501.35144,3183.583374,1457127.035,299256.8372,1756383.873,,2526.625725
619.00,1949,hest,425.60,94.00,1056.21,1088.16,432,216,162,0.7,0.3,297.92,127.68,94.75732893,56.34304488,45.40840642,28230.10344,5797.745332,2653629.723,544988.0612,3198617.784,,3028.391877
620.00,1949,hest,222.30,94.00,1672.39,1688.99,432,216,162,0.7,0.3,155.61,66.69,94.75732893,56.34304488,45.40840642,14745.18796,3028.286624,1386047.668,284658.9427,1670706.61,,998.9934229
621.00,1949,hest,678.30,62.00,779.61,812.61,432,216,162,0.7,0.3,474.81,203.49,94.75732893,56.34304488,45.40840642,44991.72735,9240.156623,2789487.096,572889.7106,3362376.806,,4312.895943
622.00,1949,hest,286.90,62.00,332.05,341.35,432,216,162,0.7,0.3,200.83,86.07,94.75732893,56.34304488,45.40840642,19030.11437,3908.301541,1179867.091,242314.6955,1422181.786,,4283.035044
623.00,1949,hest,1022.20,55.00,409.50,461.18,432,216,162,0.7,0.3,715.54,306.66,94.75732893,56.34304488,45.40840642,67802.65914,13924.94191,3729146.253,765871.8053,4495018.058,,10976.84507
624.00,1949,hest,1070.70,55.00,369.09,421.86,432,216,162,0.7,0.3,749.49,321.21,94.75732893,56.34304488,45.40840642,71019.67046,14585.63423,3906081.875,802209.8825,4708291.758,,12756.48692
625.00,1949,hest,214.70,55.00,103.57,112.56,432,216,162,0.7,0.3,150.29,64.41,94.75732893,56.34304488,45.40840642,14241.07897,2924.755458,783259.3431,160861.5502,944120.8933,,9115.775739
626.00,1949,hest,1003.20,47.00,243.58,284.00,432,216,162,0.7,0.3,702.24,300.96,94.75732893,56.34304488,45.40840642,66542.38667,13666.114,3127492.173,642307.3579,3769799.531,,15476.63819
627.00,1949,hest,375.30,47.00,94.22,111.04,432,216,162,0.7,0.3,262.71,112.59,94.75732893,56.34304488,45.40840642,24893.69788,5112.532479,1170003.801,240289.0265,1410292.827,,14968.0835
628.00,1949,hest,281.20,47.00,143.13,156.85,432,216,162,0.7,0.3,196.84,84.36,94.75732893,56.34304488,45.40840642,18652.03263,3830.653166,876645.5335,180040.6988,1056686.232,,7382.702664
631.00,1949,hest,642.20,62.00,526.59,538.19,432,216,162,0.7,0.3,449.54,192.66,94.75732893,56.34304488,45.40840642,42597.20965,8748.383582,2641026.998,542399.7821,3183426.78,,6045.361249
632.00,1949,hest,173.90,62.00,419.80,429.60,432,216,162,0.7,0.3,121.73,52.17,94.75732893,56.34304488,45.40840642,11534.80965,2368.956563,715158.1984,146875.3069,862033.5053,,2053.438555
633.00,1949,hest,334.40,94.00,2260.74,2278.94,432,216,162,0.7,0.3,234.08,100.32,94.75732893,56.34304488,45.40840642,22180.79556,4555.371332,2084994.782,428204.9052,2513199.688,,1111.671261
701.00,1949,hest,411.40,32.00,45.98,67.46,432,216,162,0.7,0.3,287.98,123.42,94.75732893,56.34304488,45.40840642,27288.21559,5604.305521,873222.8988,179337.7767,1052560.675,,22891.70673
702.00,1949,hest,392.40,32.00,63.84,83.78,432,216,162,0.7,0.3,274.68,117.72,94.75732893,56.34304488,45.40840642,26027.94311,5345.477604,832894.1796,171055.2833,1003949.463,,15726.02542
704.00,1949,hest,736.30,32.00,61.59,104.80,432,216,162,0.7,0.3,515.41,220.89,94.75732893,56.34304488,45.40840642,48838.87491,10030.26289,1562843.997,320968.4126,1883812.41,,30586.3356
709.00,1949,hest,1905.70,32.00,418.12,496.60,432,216,162,0.7,0.3,1333.99,571.71,94.75732893,56.34304488,45.40840642,126405.3292,25960.44004,4044970.535,830734.0812,4875704.616,,11661.01745
710.00,1949,hest,2027.40,32.00,310.06,417.50,432,216,162,0.7,0.3,1419.18,608.22,94.75732893,56.34304488,45.40840642,134477.7061,27618.30096,4303286.594,883785.6306,5187072.225,,16729.25313
711.00,1949,hest,140.60,32.00,52.12,55.96,432,216,162,0.7,0.3,98.42,42.18,94.75732893,56.34304488,45.40840642,9326.016314,1915.326583,298432.522,61290.45065,359722.9727,,6901.822193
713.00,1949,hest,552.90,32.00,140.34,173.90,432,216,162,0.7,0.3,387.03,165.87,94.75732893,56.34304488,45.40840642,36673.92902,7531.892373,1173565.729,241020.556,1414586.284,,10079.70845
714.00,1949,hest,349.60,32.00,134.14,148.51,432,216,162,0.7,0.3,244.72,104.88,94.75732893,56.34304488,45.40840642,23189.01354,4762.433666,742048.4332,152397.8773,894446.3105,,6668.005893
716.00,1949,hest,1293.90,32.00,125.10,224.00,432,216,162,0.7,0.3,905.73,388.17,94.75732893,56.34304488,45.40840642,85824.55553,17626.18112,2746385.777,564037.7959,3310423.573,,26462.21881
722.00,1949,hest,222.30,32.00,46.68,59.23,432,216,162,0.7,0.3,155.61,66.69,94.75732893,56.34304488,45.40840642,14745.18796,3028.286624,471846.0146,96905.17198,568751.1865,,12184.04427
723.00,1949,hest,84.60,32.00,34.80,37.54,432,216,162,0.7,0.3,59.22,25.38,94.75732893,56.34304488,45.40840642,5611.529019,1152.465355,179568.9286,36878.89136,216447.82,,6219.764942
728.00,1949,hest,487.40,32.00,249.26,271.66,432,216,162,0.7,0.3,341.18,146.22,94.75732893,56.34304488,45.40840642,32329.30549,6639.617187,1034537.776,212467.75,1247005.526,,5002.83048
805.00,1949,hest,346.80,36.00,150.12,157.53,432,216,162,0.7,0.3,242.76,104.04,94.75732893,56.34304488,45.40840642,23003.28917,4724.290604,828118.4102,170074.4618,998192.8719,,6649.299706
806.00,1949,hest,1516.20,36.00,678.34,722.00,432,216,162,0.7,0.3,1061.34,454.86,94.75732893,56.34304488,45.40840642,100569.7435,20654.46775,3620510.766,743560.8389,4364071.604,,6433.457565
807.00,1949,hest,570.00,36.00,831.77,851.07,432,216,162,0.7,0.3,399,171.00,94.75732893,56.34304488,45.40840642,37808.17424,7764.837498,1361094.273,279534.1499,1640628.423,,1972.454432
811.00,1949,hest,254.60,36.00,197.76,204.66,432,216,162,0.7,0.3,178.22,76.38,94.75732893,56.34304488,45.40840642,16887.65116,3468.294083,607955.4418,124858.587,732814.0288,,3705.572557
814.00,1949,hest,343.90,36.00,271.05,280.53,432,216,162,0.7,0.3,240.73,103.17,94.75732893,56.34304488,45.40840642,22810.93179,4684.785291,821193.5446,168652.2705,989845.815,,3651.893802
815.00,1949,hest,281.20,36.00,286.75,290.75,432,216,162,0.7,0.3,196.84,84.36,94.75732893,56.34304488,45.40840642,18652.03263,3830.653166,671473.1746,137903.514,809376.6885,,2822.586534
817.00,1949,hest,437.00,36.00,986.57,998.27,432,216,162,0.7,0.3,305.9,131.10,94.75732893,56.34304488,45.40840642,28986.26692,5953.042082,1043505.609,214309.515,1257815.124,,1274.937535
819.00,1949,hest,788.50,36.00,361.62,390.21,432,216,162,0.7,0.3,551.95,236.55,94.75732893,56.34304488,45.40840642,52301.3077,10741.35854,1882847.077,386688.9074,2269535.985,,6276.024514
821.00,1949,hest,517.80,36.00,237.43,261.30,432,216,162,0.7,0.3,362.46,155.34,94.75732893,56.34304488,45.40840642,34345.74144,7053.741854,1236446.692,253934.7067,1490381.399,,6277.140205
822.00,1949,hest,632.70,36.00,261.44,286.44,432,216,162,0.7,0.3,442.89,189.81,94.75732893,56.34304488,45.40840642,41967.07341,8618.969623,1510814.643,310282.9064,1821097.549,,6965.642401
