knr2017,AAR,ART,prod,nytidutm,utmar,totareal,,VEKTCH,ANDAD,METOFF,,METBEITEANTALL,METBEITEOFF,TOTBAR
101,1949,storf,1878.2,35.67,535.04,596.72,,304,1,72.80399107,,136740.456,4877076.265,9115.34888
104,1949,storf,272.7,29,50.12,57.78,,304,1,72.80399107,,19853.64836,575755.8026,11487.54594
105,1949,storf,2884.2,29,288.05,370.26,,304,1,72.80399107,,209981.271,6089456.86,21140.27724
106,1949,storf,2459.6,29,210.44,281.97,,304,1,72.80399107,,179068.6964,5192992.196,24676.83043
111,1949,storf,314.5,29,83.92,87.74,,304,1,72.80399107,,22896.85519,664008.8005,7912.402294
118,1949,storf,555.8,49,264.42,284.92,,304,1,72.80399107,,40464.45824,1982758.454,7498.519225
119,1949,storf,1452.6,49,326.62,367.65,,304,1,72.80399107,,105755.0774,5181998.794,15865.52812
121,1949,storf,197.6,49,156.3,159.4,,304,1,72.80399107,,14386.06863,704917.3631,4510.027915
122,1949,storf,2066.3,29,121.27,187.7,,304,1,72.80399107,,150434.8867,4362611.716,35974.36889
123,1949,storf,1279.7,29,96.12,134.01,,304,1,72.80399107,,93167.26737,2701850.754,28109.14226
124,1949,storf,1105.8,29,39.16,66.21,,304,1,72.80399107,,80506.65332,2334692.946,59619.32958
125,1949,storf,2541.3,29,151.91,229.55,,304,1,72.80399107,,185016.7825,5365486.692,35320.16781
127,1949,storf,1335.7,29,56.69,93.07,,304,1,72.80399107,,97244.29087,2820084.435,49745.71239
128,1949,storf,3390.6,29,306.31,419.78,,304,1,72.80399107,,246849.2121,7158627.151,23370.53035
135,1949,storf,1028.9,29,69.64,104.69,,304,1,72.80399107,,74908.02641,2172332.766,31193.75023
136,1949,storf,765.7,29,42.12,69.17,,304,1,72.80399107,,55746.01596,1616634.463,38381.63492
137,1949,storf,1393.7,29,203.09,238.79,,304,1,72.80399107,,101466.9224,2942540.748,14488.85099
138,1949,storf,1085.9,29,109.54,139.54,,304,1,72.80399107,,79057.8539,2292677.763,20930.05079
211,1949,storf,1122,45,94.87,133.28,,304,1,72.80399107,,81686.07798,3675873.509,38746.42678
213,1949,storf,1372.8,45,127.46,162.08,,304,1,72.80399107,,99945.31894,4497539.352,35285.88853
214,1949,storf,1301.5,45,61.32,101,,304,1,72.80399107,,94754.39437,4263947.747,69536.0037
215,1949,storf,542.5,45,71.11,86.54,,304,1,72.80399107,,39496.16515,1777327.432,24994.05754
216,1949,storf,309.7,45,53.73,59.56,,304,1,72.80399107,,22547.39603,1014632.822,18883.91628
217,1949,storf,91.2,45,31.98,34.27,,304,1,72.80399107,,6639.723985,298787.5793,9342.951199
219,1949,storf,1006.1,45,169,189.13,,304,1,72.80399107,,73248.09541,3296164.294,19503.93073
220,1949,storf,520.6,45,84.84,96.97,,304,1,72.80399107,,37901.75775,1705579.099,20103.4783
221,1949,storf,3107.5,54,796.95,896.74,,304,1,72.80399107,,226238.4022,12216873.72,15329.53601
226,1949,storf,1961.8,49.5,124.53,198.91,,304,1,72.80399107,,142826.8697,7069930.049,56772.90652
227,1949,storf,868.3,45,110.56,137.77,,304,1,72.80399107,,63215.70544,2844706.745,25729.98141
228,1949,storf,224.2,45,50.62,56.64,,304,1,72.80399107,,16322.6548,734519.4659,14510.45962
229,1949,storf,1289.2,45,165.73,195.71,,304,1,72.80399107,,93858.90528,4223650.738,25485.13086
230,1949,storf,353.4,45,60.83,67.47,,304,1,72.80399107,,25728.93044,1157801.87,19033.40243
231,1949,storf,776.2,45,50.68,75.01,,304,1,72.80399107,,56510.45787,2542970.604,50177.00481
233,1949,storf,794.2,45,165.15,180.48,,304,1,72.80399107,,57820.92971,2601941.837,15755.02172
234,1949,storf,846.5,45,55.95,81.95,,304,1,72.80399107,,61628.57844,2773286.03,49567.22126
235,1949,storf,2528.9,45,161.13,249.93,,304,1,72.80399107,,184114.013,8285130.585,51418.92004
236,1949,storf,3141.7,45,470.97,611.35,,304,1,72.80399107,,228728.2987,10292773.44,21854.41417
237,1949,storf,2265.8,49.5,334.9,387.02,,304,1,72.80399107,,164959.283,8165484.507,24381.85878
238,1949,storf,1702.4,45,273.7,324.7,,304,1,72.80399107,,123941.5144,5577368.148,20377.66952
239,1949,storf,708.7,54,253.44,260.74,,304,1,72.80399107,,51596.18847,2786194.177,10993.50607
301,1949,storf,1080.2,45,390.37,426.59,,304,1,72.80399107,,78642.87115,3538929.202,9065.576765
402,1949,storf,1198,55.5,910.53,963.69,,304,1,72.80399107,,87219.1813,4840664.562,5316.315291
403,1949,storf,1353.8,51,289.58,338.2,,304,1,72.80399107,,98562.04311,5026664.198,17358.46467
412,1949,storf,5852,51,941.89,1124.8,,304,1,72.80399107,,426048.9557,21728496.74,23069.03857
415,1949,storf,1179.9,51,314.76,362.51,,304,1,72.80399107,,85901.42906,4380972.882,13918.45496
417,1949,storf,2918.4,51,539.87,640.73,,304,1,72.80399107,,212471.1675,10836029.54,20071.55342
418,1949,storf,1191.3,60,447.68,473.48,,304,1,72.80399107,,86731.39456,5203883.674,11624.11471
419,1949,storf,1664.4,60,413.61,478.01,,304,1,72.80399107,,121174.9627,7270497.764,17578.14793
420,1949,storf,3377.3,60,567.33,605.27,,304,1,72.80399107,,245880.919,14752855.14,26004.01026
423,1949,storf,1761.3,60,711.45,777.75,,304,1,72.80399107,,128229.6695,7693780.168,10814.22471
425,1949,storf,2071,60,905.84,1004.97,,304,1,72.80399107,,150777.0655,9046623.93,9986.999834
426,1949,storf,1010.8,60,630.32,678.82,,304,1,72.80399107,,73590.27417,4415416.45,7005.039425
427,1949,storf,1920,60,1162.4,1209.82,,304,1,72.80399107,,139783.6628,8387019.771,7215.261331
428,1949,storf,2380.7,60,2925.19,2948.35,,304,1,72.80399107,,173324.4615,10399467.69,3555.142638
429,1949,storf,984.2,60,1277.2,1295.29,,304,1,72.80399107,,71653.68801,4299221.281,3366.130035
430,1949,storf,1567.5,75.5,2109.51,2130,,304,1,72.80399107,,114120.256,8616079.328,4084.398428
432,1949,storf,1410.8,91,3042.83,3063.83,,304,1,72.80399107,,102711.8706,9346780.224,3071.739211
434,1949,storf,724.9,91,1906.91,1920.91,,304,1,72.80399107,,52775.61312,4802580.794,2518.514662
436,1949,storf,1213.2,91,1066.95,1097.65,,304,1,72.80399107,,88325.80196,8037647.979,7533.293949
437,1949,storf,2433.9,91,1764.56,1820.62,,304,1,72.80399107,,177197.6339,16124984.68,9138.246748
438,1949,storf,916.8,91,892.71,920.81,,304,1,72.80399107,,66746.69901,6073949.61,6803.944853
439,1949,storf,858.8,91,1231.51,1257.21,,304,1,72.80399107,,62524.06753,5689690.145,4620.092525
441,1949,storf,856.9,91,977.23,1007.43,,304,1,72.80399107,,62385.73995,5677102.335,5809.381962
501,1949,storf,1313.9,72.5,413.89,447.03,,304,1,72.80399107,,95657.16386,6935144.38,16756.00855
502,1949,storf,3166.4,54.75,559.75,630.88,,304,1,72.80399107,,230526.5573,12621329.01,22548.15366
511,1949,storf,958.6,92,1317.5,1347,,304,1,72.80399107,,69789.90584,6420671.337,4873.374829
512,1949,storf,1907.6,92,2133.37,2174.17,,304,1,72.80399107,,138880.8934,12777042.19,5989.135588
513,1949,storf,838.9,92,1954.55,1978.85,,304,1,72.80399107,,61075.26811,5618924.666,2874.791981
514,1949,storf,888.3,92,1848.3,1871,,304,1,72.80399107,,64671.78527,5949804.244,3219.068465
515,1949,storf,1167.6,92,1239.69,1272.23,,304,1,72.80399107,,85005.93997,7820546.477,6308.469438
516,1949,storf,1806.9,92,1050.36,1096.57,,304,1,72.80399107,,131549.5315,12102556.89,11522.29416
517,1949,storf,545.3,92,856.34,892.22,,304,1,72.80399107,,39700.01633,3652401.502,4265.130091
519,1949,storf,984.2,92,666.75,702.25,,304,1,72.80399107,,71653.68801,6592139.297,9886.973074
520,1949,storf,1295.8,92,1174.17,1222.3,,304,1,72.80399107,,94339.41163,8679225.87,7391.796647
521,1949,storf,989,92,585.42,616.62,,304,1,72.80399107,,72003.14717,6624289.539,11315.44795
