knr2017,AAR,ART,prod,nytidutm,utmar,totareal,,VEKTCH,ANDAD,METOFF,,METBEITEANTALL,METBEITEOFF,TOTBAR
522,1949,storf,2104.3,92,1083.44,1152.54,,304,1,72.80399107,,153201.4384,14094532.33,13009.05665
528,1949,storf,3220.5,53,373.62,486.52,,304,1,72.80399107,,234465.2532,12426658.42,33260.15315
529,1949,storf,1792.7,53,172.1,231.51,,304,1,72.80399107,,130515.7148,6917332.884,40193.68323
532,1949,storf,562.4,53,179.16,194.74,,304,1,72.80399107,,40944.96458,2170083.123,12112.54255
533,1949,storf,1147.6,53,245.36,273.16,,304,1,72.80399107,,83549.86015,4428142.588,18047.53256
534,1949,storf,3027.7,53,582.39,659.57,,304,1,72.80399107,,220428.6438,11682718.12,20059.95659
536,1949,storf,1674.9,60,635.76,661.35,,304,1,72.80399107,,121939.4046,7316364.278,11508.06008
538,1949,storf,2181.2,60,886.56,928.23,,304,1,72.80399107,,158800.0653,9528003.919,10747.16197
540,1949,storf,1349,92,1049.82,1071.12,,304,1,72.80399107,,98212.58395,9035557.723,8606.768516
541,1949,storf,941.5,92,429.58,444.58,,304,1,72.80399107,,68544.95759,6306136.098,14679.77117
542,1949,storf,1423.1,92,819.44,855.65,,304,1,72.80399107,,103607.3597,9531877.091,11632.18429
543,1949,storf,979.5,92,390.64,421.04,,304,1,72.80399107,,71311.50925,6560658.851,16794.64174
544,1949,storf,981.4,92,853.96,882.26,,304,1,72.80399107,,71449.83683,6573384.989,7697.532658
545,1949,storf,983.3,92,1293.26,1313.76,,304,1,72.80399107,,71588.16442,6586111.126,5092.642722
602,1949,storf,650.8,43.5,119.92,134.65,,304,1,72.80399107,,47380.83739,2061066.426,17187.01156
604,1949,storf,1091.6,68,718.35,756.52,,304,1,72.80399107,,79472.83665,5404152.892,7523.008133
605,1949,storf,2883.3,62.5,1352.75,1428.52,,304,1,72.80399107,,209915.7474,13119734.22,9698.565304
612,1949,storf,500.7,59,111.5,133.7,,304,1,72.80399107,,36452.95833,2150724.541,19289.00934
615,1949,storf,422.8,73,663.79,670.69,,304,1,72.80399107,,30781.52742,2247051.502,3385.184323
616,1949,storf,784.7,100,761.3,775.6,,304,1,72.80399107,,57129.29179,5712929.179,7504.175987
617,1949,storf,773.3,100,495.24,516.32,,304,1,72.80399107,,56299.32629,5629932.629,11368.08947
618,1949,storf,535.8,100,695.15,714.75,,304,1,72.80399107,,39008.37841,3900837.841,5611.505202
619,1949,storf,1065,100,1056.21,1088.16,,304,1,72.80399107,,77536.25049,7753625.049,7340.988107
620,1949,storf,693.5,100,1672.39,1688.99,,304,1,72.80399107,,50489.56781,5048956.781,3019.006799
621,1949,storf,1537.1,73,779.61,812.61,,304,1,72.80399107,,111907.0147,8169212.071,10478.5881
622,1949,storf,729.6,73,332.05,341.35,,304,1,72.80399107,,53117.79188,3877598.807,11677.75578
623,1949,storf,1840.2,59,409.5,461.18,,304,1,72.80399107,,133973.9044,7904460.357,19302.7115
624,1949,storf,1696.7,59,369.09,421.86,,304,1,72.80399107,,123526.5316,7288065.367,19746.03855
625,1949,storf,331.6,59,103.57,112.56,,304,1,72.80399107,,24141.80344,1424366.403,13752.69289
626,1949,storf,1966.5,58,243.58,284,,304,1,72.80399107,,143169.0484,8303804.809,34090.66758
627,1949,storf,648.9,58,94.22,111.04,,304,1,72.80399107,,47242.5098,2740065.569,29081.57046
628,1949,storf,547.2,58,143.13,156.85,,304,1,72.80399107,,39838.34391,2310623.947,16143.53348
631,1949,storf,1590.3,73,526.59,538.19,,304,1,72.80399107,,115780.187,8451953.651,16050.3497
632,1949,storf,547.2,73,419.8,429.6,,304,1,72.80399107,,39838.34391,2908199.106,6927.582433
633,1949,storf,1029.8,100,2260.74,2278.94,,304,1,72.80399107,,74973.55,7497355,3316.32784
701,1949,storf,846.5,29,45.98,67.46,,304,1,72.80399107,,61628.57844,1787228.775,38869.69932
702,1949,storf,802.8,29,63.84,83.78,,304,1,72.80399107,,58447.04403,1694964.277,26550.19231
704,1949,storf,1427.9,29,61.59,104.8,,304,1,72.80399107,,103956.8188,3014747.747,48948.65638
709,1949,storf,3222.4,29,418.12,496.6,,304,1,72.80399107,,234603.5808,6803503.844,16271.6537
710,1949,storf,3973.9,29,310.06,417.5,,304,1,72.80399107,,289315.7801,8390157.623,27059.78721
711,1949,storf,260.3,29,52.12,55.96,,304,1,72.80399107,,18950.87887,549575.4874,10544.42608
713,1949,storf,1183.7,29,140.34,173.9,,304,1,72.80399107,,86178.08423,2499164.443,17807.92677
714,1949,storf,611.8,29,134.14,148.51,,304,1,72.80399107,,44541.48174,1291702.97,9629.513719
716,1949,storf,2809.2,29,125.1,224,,304,1,72.80399107,,204520.9717,5931108.179,47410.93669
722,1949,storf,449.4,29,46.68,59.23,,304,1,72.80399107,,32718.11359,948825.294,20326.16311
723,1949,storf,207.1,29,34.8,37.54,,304,1,72.80399107,,15077.70655,437253.49,12564.75546
728,1949,storf,911.1,29,249.26,271.66,,304,1,72.80399107,,66331.71626,1923619.772,7717.322361
805,1949,storf,352.5,44,150.12,157.53,,304,1,72.80399107,,25663.40685,1129189.901,7521.915144
806,1949,storf,1952.3,44,678.34,722,,304,1,72.80399107,,142135.2318,6253950.197,9219.491991
807,1949,storf,1008,44,831.77,851.07,,304,1,72.80399107,,73386.423,3229002.612,3882.085927
811,1949,storf,401.9,44,197.76,204.66,,304,1,72.80399107,,29259.92401,1287436.656,6510.096361
814,1949,storf,371.5,44,271.05,280.53,,304,1,72.80399107,,27046.68268,1190054.038,4390.533252
815,1949,storf,320.2,44,286.75,290.75,,304,1,72.80399107,,23311.83794,1025720.869,3577.056214
817,1949,storf,609,44,986.57,998.27,,304,1,72.80399107,,44337.63056,1950855.745,1977.412393
819,1949,storf,1142.9,44,361.62,390.21,,304,1,72.80399107,,83207.68139,3661137.981,10124.26852
821,1949,storf,894,44,237.43,261.3,,304,1,72.80399107,,65086.76801,2863817.793,12061.73522
822,1949,storf,765.7,44,261.44,286.44,,304,1,72.80399107,,55746.01596,2452824.702,9381.97943
826,1949,storf,522.5,76,1900.86,1914.48,,304,1,72.80399107,,38040.08533,2891046.485,1520.914999
827,1949,storf,664.1,76,737.59,749.69,,304,1,72.80399107,,48349.13047,3674533.916,4981.810919
828,1949,storf,685.9,76,657.48,670.28,,304,1,72.80399107,,49936.25747,3795155.568,5772.275306
829,1949,storf,653.6,76,617.65,627.14,,304,1,72.80399107,,47584.68856,3616436.331,5855.154749
830,1949,storf,242.3,76,784.41,788.71,,304,1,72.80399107,,17640.40704,1340670.935,1709.145644
831,1949,storf,254.6,44,1126.02,1132.62,,304,1,72.80399107,,18535.89613,815579.4295,724.3027917
833,1949,storf,732.5,76,920.74,931.54,,304,1,72.80399107,,53328.92346,4052998.183,4401.892155
834,1949,storf,816.1,76,2912.57,2929.17,,304,1,72.80399107,,59415.33711,4515565.62,1550.371535
901,1949,storf,0,40,171.43,175.25,,304,1,72.80399107,,0,0,0
904,1949,storf,653.6,40,254.04,273.53,,304,1,72.80399107,,47584.68856,1903387.542,7492.471825
906,1949,storf,677.4,40,235.13,253.79,,304,1,72.80399107,,49317.42355,1972696.942,8389.813899
911,1949,storf,267.9,66,308.84,314.64,,304,1,72.80399107,,19504.18921,1287276.488,4168.101566
912,1949,storf,207.1,66,318.6,321.7,,304,1,72.80399107,,15077.70655,995128.6323,3123.442035
914,1949,storf,457.9,40,198.56,204.47,,304,1,72.80399107,,33336.94751,1333477.9,6715.74285
919,1949,storf,354.4,66,601.9,608.8,,304,1,72.80399107,,25801.73443,1702914.473,2829.231555
926,1949,storf,266,40,167.62,174.46,,304,1,72.80399107,,19365.86162,774634.465,4621.372539
928,1949,storf,391.4,66,621.7,632.7,,304,1,72.80399107,,28495.4821,1880701.819,3025.095414
929,1949,storf,342,74,1079.87,1088.77,,304,1,72.80399107,,24898.96495,1842523.406,1706.245572
935,1949,storf,562.4,78,242.48,246.18,,304,1,72.80399107,,40944.96458,3193707.237,13171.01302
937,1949,storf,551,78,519.52,529.42,,304,1,72.80399107,,40114.99908,3128969.928,6022.809378
938,1949,storf,417.1,78,1178.77,1186.27,,304,1,72.80399107,,30366.54467,2368590.485,2009.374589
940,1949,storf,613.7,78,1160.72,1169.82,,304,1,72.80399107,,44679.80932,3485025.127,3002.468405
941,1949,storf,152,78,1303.51,1305.41,,304,1,72.80399107,,11066.20664,863164.1181,662.1845004
1001,1949,storf,496.9,57,251.81,260.07,,304,1,72.80399107,,36176.30316,2062049.28,8188.909417
1002,1949,storf,564.3,61,196.73,208.41,,304,1,72.80399107,,41083.29216,2506080.822,12738.68155
1003,1949,storf,1458.3,57,219,250.88,,304,1,72.80399107,,106170.0602,6051693.43,27633.30333
1004,1949,storf,526.3,60,467.01,479.9,,304,1,72.80399107,,38316.7405,2299004.43,4922.816278
1014,1949,storf,579.5,69,352.1,364.56,,304,1,72.80399107,,42189.91282,2911103.985,8267.832959
1017,1949,storf,494,69,197.24,206.9,,304,1,72.80399107,,35965.17159,2481596.84,12581.61042
1018,1949,storf,319.2,57,136.34,141.54,,304,1,72.80399107,,23239.03395,1324624.935,9715.600228
1021,1949,storf,514.9,69,366.3,380.4,,304,1,72.80399107,,37486.775,2586587.475,7061.390868
1026,1949,storf,383.8,85,825.31,833.51,,304,1,72.80399107,,27942.17177,2375084.601,2877.809066
1027,1949,storf,787.6,69,227.36,238.56,,304,1,72.80399107,,57340.42336,3956489.212,17401.87022
1029,1949,storf,862.6,61,283.98,298.28,,304,1,72.80399107,,62800.72269,3830844.084,13489.83761
1032,1949,storf,1350,65,356.29,373.3,,304,1,72.80399107,,98285.38794,6388550.216,17930.75926
1034,1949,storf,715.4,77,409.89,424.59,,304,1,72.80399107,,52083.97521,4010466.091,9784.249655
1037,1949,storf,1350,70.33,893.4,916.17,,304,1,72.80399107,,98285.38794,6912738.952,7737.563188
1046,1949,storf,862.6,79.67,1427.5,1439.6,,304,1,72.80399107,,62800.72269,5003124.241,3504.815581
1101,1949,storf,1165.7,51.5,346.15,393.52,,304,1,72.80399107,,84867.61239,4370682.038,12626.55507
1102,1949,storf,2122.3,40,204.96,283.67,,304,1,72.80399107,,154511.9102,6180476.41,30154.54923
1103,1949,storf,1695.8,41.33,48.46,66.35,,304,1,72.80399107,,123461.0081,5103054.999,105304.4779
1106,1949,storf,942.4,36,60.04,67.54,,304,1,72.80399107,,68610.48118,2469977.323,41138.8628
1111,1949,storf,555.8,67,253.04,266.33,,304,1,72.80399107,,40464.45824,2711118.702,10714.19025
1112,1949,storf,397.1,67,336.66,357.34,,304,1,72.80399107,,28910.46485,1937001.145,5753.58268
1114,1949,storf,826.5,67,535.97,586.37,,304,1,72.80399107,,60172.49862,4031557.407,7521.983334
1119,1949,storf,2816.8,44,122.84,247.6,,304,1,72.80399107,,205074.282,9023268.41,73455.45758
1120,1949,storf,2555.5,44,23.74,105.52,,304,1,72.80399107,,186050.5992,8186226.364,344828.4062
1121,1949,storf,1621.7,44,90.79,169.3,,304,1,72.80399107,,118066.2323,5194914.222,57219.01335
1122,1949,storf,758.1,55.5,518.39,561.3,,304,1,72.80399107,,55192.70563,3063195.162,5909.055272
1124,1949,storf,1668.2,44,30.04,68.38,,304,1,72.80399107,,121451.6179,5343871.188,177891.8505
1127,1949,storf,787.6,44,7.75,23.81,,304,1,72.80399107,,57340.42336,2522978.628,325545.6294
1129,1949,storf,379.1,67,699.14,711.74,,304,1,72.80399107,,27599.99301,1849199.532,2644.963143
1130,1949,storf,702.1,67,168.22,192.73,,304,1,72.80399107,,51115.68213,3424750.703,20358.76057
1133,1949,storf,970.9,67,973.64,1008.44,,304,1,72.80399107,,70685.39493,4735921.46,4864.140196
1134,1949,storf,1218.9,59.25,1641.69,1673.19,,304,1,72.80399107,,88740.78471,5257891.494,3202.731024
1135,1949,storf,276.5,67,498.83,507.3,,304,1,72.80399107,,20130.30353,1348730.337,2703.787536
1141,1949,storf,1191.3,42,63.86,104.46,,304,1,72.80399107,,86731.39456,3642718.571,57042.25762
1142,1949,storf,754.3,45,25.52,64.92,,304,1,72.80399107,,54916.05046,2471222.271,96834.72848
1144,1949,storf,50.4,45,3.13,5.73,,304,1,72.80399107,,3669.32115,165119.4517,52753.81845
1145,1949,storf,190,36,37.15,44.95,,304,1,72.80399107,,13832.7583,497979.2989,13404.55717
1146,1949,storf,877.8,40.5,341.25,392.75,,304,1,72.80399107,,63907.34336,2588247.406,7584.607783
1149,1949,storf,1597,36,166.71,217.41,,304,1,72.80399107,,116267.9737,4185647.054,25107.35441
1151,1949,storf,68.4,36,5.14,6.14,,304,1,72.80399107,,4979.792989,179272.5476,34877.92755
1160,1949,storf,2676.2,64.45,505.29,610.19,,304,1,72.80399107,,194838.0409,12557311.74,24851.69256
1201,1949,storf,1842.1,69,410.34,444.68,,304,1,72.80399107,,134112.2319,9253744.004,22551.40616
1211,1949,storf,1405.1,92,652.5,678,,304,1,72.80399107,,102296.8878,9411313.682,14423.46924
1216,1949,storf,590,69,200.3,224,,304,1,72.80399107,,42954.35473,2963850.476,14797.0568
1219,1949,storf,872.1,69,221,234.4,,304,1,72.80399107,,63492.36061,4380972.882,19823.40671
1221,1949,storf,349.6,69,129.53,137.84,,304,1,72.80399107,,25452.27528,1756206.994,13558.30305
1222,1949,storf,489.3,69,129.2,137.1,,304,1,72.80399107,,35622.99283,2457986.505,19024.66335
1223,1949,storf,741,69,232.68,245.08,,304,1,72.80399107,,53947.75738,3722395.259,15997.91671
1224,1949,storf,1622.6,86.25,1052.75,1093.3,,304,1,72.80399107,,118131.7559,10188863.95,9678.331937
1227,1949,storf,259.4,92,191.9,196.9,,304,1,72.80399107,,18885.35528,1737452.686,9053.948338
1228,1949,storf,263.2,92,1578.44,1583.65,,304,1,72.80399107,,19162.01045,1762904.961,1116.865362
1231,1949,storf,439.9,92,1294.2,1307.8,,304,1,72.80399107,,32026.47567,2946435.762,2276.646393
1232,1949,storf,134.9,92,1456.18,1459.28,,304,1,72.80399107,,9821.258395,903555.7723,620.4973096
1233,1949,storf,175.8,92,675.57,681.77,,304,1,72.80399107,,12798.94163,1177502.63,1742.976494
1234,1949,storf,229,92,200.24,205.04,,304,1,72.80399107,,16672.11395,1533834.484,7659.980443
1235,1949,storf,1939,92,1678.5,1739.31,,304,1,72.80399107,,141166.9387,12987358.36,7737.478915
1238,1949,storf,621.3,92,560.4,583.76,,304,1,72.80399107,,45233.11965,4161447.008,7425.851192
1241,1949,storf,798,84.33,338.58,354.98,,304,1,72.80399107,,58097.58487,4899562.991,14470.91674
1242,1949,storf,300.2,92,251.88,255.68,,304,1,72.80399107,,21855.75812,2010729.747,7982.887672
1243,1949,storf,532,69,123.08,133.27,,304,1,72.80399107,,38731.72325,2672488.904,21713.42951
1244,1949,storf,340.1,69,106.36,111.76,,304,1,72.80399107,,24760.63736,1708483.978,16063.21905
1245,1949,storf,290.7,69,91.68,94.33,,304,1,72.80399107,,21164.1202,1460324.294,15928.49361
1246,1949,storf,927.2,69,135.25,141.25,,304,1,72.80399107,,67503.86052,4657766.376,34438.19871
1247,1949,storf,296.4,69,88.75,93.12,,304,1,72.80399107,,21579.10295,1488958.104,16776.99272
1251,1949,storf,256.5,92,710.15,717.37,,304,1,72.80399107,,18674.22371,1718028.581,2419.247456
1252,1949,storf,255.6,92,375.15,377.15,,304,1,72.80399107,,18608.70012,1712000.411,4563.509025
1253,1949,storf,345.8,69,223.66,247.86,,304,1,72.80399107,,25175.62011,1737117.788,7766.778984
1256,1949,storf,399,69,75.77,85.87,,304,1,72.80399107,,29048.79244,2004366.678,26453.30181
1259,1949,storf,96,69,60.71,64.21,,304,1,72.80399107,,6989.183142,482253.6368,7943.561799
1260,1949,storf,600.4,69,79.22,105.72,,304,1,72.80399107,,43711.51624,3016094.62,38072.38854
1263,1949,storf,2770.2,69,418.41,453.83,,304,1,72.80399107,,201681.6161,13916031.51,33259.31863
1264,1949,storf,361,69,50.14,55.38,,304,1,72.80399107,,26282.24078,1813474.613,36168.22125
1265,1949,storf,49.4,69,8.58,8.88,,304,1,72.80399107,,3596.517159,248159.684,28923.04009
1266,1949,storf,513,69,519.6,527.5,,304,1,72.80399107,,37348.44742,2577042.872,4959.666805
1401,1949,storf,1203.7,94,648.06,667.96,,304,1,72.80399107,,87634.16405,8237611.42,12711.18634
1411,1949,storf,1307.2,94,557.26,577.96,,304,1,72.80399107,,95169.37712,8945921.45,16053.40676
1412,1949,storf,326.8,94,216.68,219.78,,304,1,72.80399107,,23792.34428,2236480.362,10321.58188
1413,1949,storf,774.3,94,238.22,249.62,,304,1,72.80399107,,56372.13028,5298980.247,22244.06115
1416,1949,storf,665,91,849.26,861.4,,304,1,72.80399107,,48414.65406,4405733.519,5187.732284
1417,1949,storf,724.9,88,770.9,793.1,,304,1,72.80399107,,52775.61312,4644253.955,6024.45707
1418,1949,storf,552,88,413.5,423.8,,304,1,72.80399107,,40187.80307,3536526.67,8552.664257
1419,1949,storf,440.8,88,178.44,183.2,,304,1,72.80399107,,32091.99926,2824095.935,15826.5856
1420,1949,storf,902.5,88,714.47,734.8,,304,1,72.80399107,,65705.60194,5782092.971,8092.842206
1421,1949,storf,328.7,88,1412.14,1419.44,,304,1,72.80399107,,23930.67186,2105899.124,1491.282114
1422,1949,storf,288.8,88,1278.26,1291.2,,304,1,72.80399107,,21025.79262,1850269.751,1447.490926
1424,1949,storf,143.5,88,939.95,941.73,,304,1,72.80399107,,10447.37272,919368.7992,978.1039408
1426,1949,storf,2116.6,88,2598.83,2636.53,,304,1,72.80399107,,154096.9275,13560529.62,5217.936387
1428,1949,storf,1371.8,94,291.2,312.5,,304,1,72.80399107,,99872.51495,9388016.405,32239.06732
1429,1949,storf,1523.8,94,372.5,393.6,,304,1,72.80399107,,110938.7216,10428239.83,27995.27471
1430,1949,storf,1175.2,88,511.6,540.9,,304,1,72.80399107,,85559.2503,7529214.027,14716.9938
1431,1949,storf,1341.4,88,592.68,619.98,,304,1,72.80399107,,97659.27362,8594016.078,14500.26334
1432,1949,storf,1059.3,88,542.76,564.98,,304,1,72.80399107,,77121.26774,6786671.561,12504.00096
1433,1949,storf,990.9,94,334.17,353.57,,304,1,72.80399107,,72141.47475,6781298.626,20292.96055
1438,1949,storf,1511.5,94,789.81,804.51,,304,1,72.80399107,,110043.2325,10344063.85,13096.9016
1439,1949,storf,286.9,94,154.31,162.09,,304,1,72.80399107,,20887.46504,1963421.714,12723.87864
1441,1949,storf,903.5,94,215.82,228.22,,304,1,72.80399107,,65778.40593,6183170.157,28649.66248
1443,1949,storf,1053.6,88,391.29,417.5,,304,1,72.80399107,,76706.28499,6750153.079,17251.02374
1444,1949,storf,674.5,88,166.72,177,,304,1,72.80399107,,49106.29197,4321353.694,25919.82782
1445,1949,storf,2117.6,88,918.5,959.2,,304,1,72.80399107,,154169.7315,13566936.37,14770.75272
1449,1949,storf,2189.8,88,1286.88,1328.89,,304,1,72.80399107,,159426.1796,14029503.81,10901.95186
1502,1949,storf,720.1,57,339.64,355.3,,304,1,72.80399107,,52426.15397,2988290.776,8798.406478
1504,1949,storf,187.2,72.5,89.47,92.92,,304,1,72.80399107,,13628.90713,988095.7668,11043.87802
1505,1949,storf,270.8,57,61.23,63.93,,304,1,72.80399107,,19715.32078,1123773.285,18353.31185
1511,1949,storf,812.3,57,342.9,366.4,,304,1,72.80399107,,59138.68194,3370904.871,9830.577051
1514,1949,storf,658.4,57,75.8,87.4,,304,1,72.80399107,,47934.14772,2732246.42,36045.46728
1515,1949,storf,589,57,112.24,119.54,,304,1,72.80399107,,42881.55074,2444248.392,21776.9814
1516,1949,storf,248,57,88.42,94.4,,304,1,72.80399107,,18055.38978,1029157.218,11639.41662
