knr2017,kommune,aar,utmarea,tamrein,villrein,antrein,LANDKAT,ALTREG,reg,endelig tamsum,Tamsommer,Tamaar,Maleper,Femaleper,Chper,Beitedager,Maleandelt,Femaleandt,Chandelt,Maleandxmet,Femandmet,Chandmet,Maleandxbdg,Feandxbdg,Chandxbdg,Sumtam,Malekg,Femalekg,Chkg,Metmale,Metfemale,Metch,Sumsamisk,Korrsvenskrein,Endelig samisk,TOTBAR,,,,,,
219.00,Bærum,1949.00,169.00,0.00,0.00,0.00,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
220.00,Asker,1949.00,84.84,0.00,0.00,0.00,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
221.00,Aurskog-Høland,1949.00,796.95,0.00,0.00,0.00,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
226.00,Sørum,1949.00,124.53,0.00,0.00,0.00,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
227.00,Fet,1949.00,110.56,0.00,0.00,0.00,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
228.00,Rælingen,1949.00,50.62,0.00,0.00,0.00,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
229.00,Enebakk,1949.00,165.73,0.00,0.00,0.00,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
230.00,Lørenskog,1949.00,60.83,0.00,0.00,0.00,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
231.00,Skedsmo,1949.00,50.68,0.00,0.00,0.00,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
233.00,Nittedal,1949.00,165.15,0.00,0.00,0.00,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
234.00,Gjerdrum,1949.00,55.95,0.00,0.00,0.00,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
235.00,Ullensaker,1949.00,161.13,0.00,0.00,0.00,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
236.00,Nes,1949.00,470.97,0.00,0.00,0.00,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
237.00,Eidsvoll,1949.00,334.90,0.00,0.00,0.00,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
238.00,Nannestad,1949.00,273.70,0.00,0.00,0.00,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
239.00,Hurdal,1949.00,253.44,0.00,0.00,0.00,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
301.00,Oslo kommune,1949.00,390.37,0.00,0.00,0.00,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
402.00,Kongsvinger,1949.00,910.53,0.00,0.00,0.00,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
403.00,Hamar,1949.00,289.58,0.00,0.00,0.00,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
412.00,Ringsaker,1949.00,941.89,0.00,15.47,15.47,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
415.00,Løten,1949.00,314.76,0.00,0.00,0.00,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
417.00,Stange,1949.00,539.87,0.00,0.00,0.00,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
418.00,Nord-Odal,1949.00,447.68,0.00,0.00,0.00,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
419.00,Sør-Odal,1949.00,413.61,0.00,0.00,0.00,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
420.00,Eidskog,1949.00,567.33,0.00,0.00,0.00,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
423.00,Grue,1949.00,711.45,0.00,0.00,0.00,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
425.00,Åsnes,1949.00,905.84,0.00,0.00,0.00,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
426.00,Våler,1949.00,630.32,0.00,0.00,0.00,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
427.00,Elverum,1949.00,1162.40,0.00,0.00,0.00,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
428.00,Trysil,1949.00,2925.19,0.00,0.00,0.00,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
429.00,Åmot,1949.00,1277.20,0.00,20.98,20.98,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
430.00,Stor-Elvdal,1949.00,2109.51,0.00,78.13,78.13,SENorway,mountain,3.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
432.00,Rendalen,1949.00,3042.83,1000.00,62.73,1062.73,SENorway,mountain,3.00,1000.00,1250,1083.333333,10,65,25,365,108.3333333,704.1666667,270.8333333,3425.800799,15746.38533,4705.562003,1250417.291,5747430.647,1717530.131,8715378.07,100,63,45,31.6227766,22.36173065,17.37438278,8715378.07,0,8715378.07,2864.234305,,,,,,
434.00,Engerdal,1949.00,1906.91,2414.60,0.00,2414.60,SENorway,mountain,3.00,2414.60,3018.255433,2615.821375,10,65,25,365,261.5821375,1700.283894,653.9553438,8271.953497,38021.29047,11362.07046,3019263.026,13877771.02,4147155.719,21044189.77,100,63,45,31.6227766,22.36173065,17.37438278,21044189.77,0,21044189.77,11035.75406,,,,,,
436.00,Tolga,1949.00,1066.95,0.00,14.03,14.03,SENorway,mountain,3.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
437.00,Tynset,1949.00,1764.56,0.00,263.56,263.56,SENorway,mountain,3.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
438.00,Alvdal,1949.00,892.71,0.00,18.40,18.40,SENorway,mountain,3.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
439.00,Folldal,1949.00,1231.51,0.00,607.72,607.72,SENorway,mountain,3.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
441.00,Os,1949.00,977.23,419.00,12.85,431.85,SENorway,mountain,3.00,419.00,523.7448904,453.9122384,10,65,25,365,45.39122384,295.0429549,113.4780596,1435.396531,6597.671089,1971.611244,523919.7338,2408149.948,719638.1042,3651707.786,100,63,45,31.6227766,22.36173065,17.37438278,3651707.786,0,3651707.786,3736.794599,,,,,,
501.00,Lillehammer,1949.00,413.89,0.00,0.00,0.00,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
502.00,Gjøvik,1949.00,559.75,0.00,0.00,0.00,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
511.00,Dovre,1949.00,1317.50,0.00,1721.92,1721.92,SENorway,mountain,3.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
512.00,Lesja,1949.00,2133.37,679.64,1779.44,2459.09,SENorway,mountain,3.00,679.64,849.5559705,736.2818411,10,65,25,365,73.62818411,478.5831967,184.0704603,2328.327618,10701.94854,3198.110635,849839.5805,3906211.217,1167310.382,5923361.179,100,63,45,31.6227766,22.36173065,17.37438278,5923361.179,0,5923361.179,2776.527831,,,,,,
513.00,Skjåk,1949.00,1954.55,622.68,0.00,622.68,SENorway,mountain,3.00,622.68,778.3458201,674.5663774,10,65,25,365,67.45663774,438.4681453,168.6415943,2133.166186,9804.906565,2930.043613,778605.6577,3578790.896,1069465.919,5426862.473,100,63,45,31.6227766,22.36173065,17.37438278,5426862.473,0,5426862.473,2776.527831,,,,,,
514.00,Lom,1949.00,1848.30,2100.00,0.00,2100.00,SENorway,mountain,3.00,2100.00,2625,2275,10,65,25,365,227.5,1478.75,568.75,7194.181677,33067.4092,9881.680206,2625876.312,12069604.36,3606813.275,18302293.95,100,63,45,31.6227766,22.36173065,17.37438278,18302293.95,0,18302293.95,9902.23121,,,,,,
515.00,Vågå,1949.00,1239.69,731.00,0.00,731.00,SENorway,mountain,3.00,731.00,913.75,791.9166667,10,65,25,365,79.19166667,514.7458333,197.9791667,2504.260384,11510.60768,3439.765824,914055.0401,4201371.803,1255514.526,6370941.369,100,63,45,31.6227766,22.36173065,17.37438278,6370941.369,0,6370941.369,5139.140728,,,,,,
516.00,Nord-Fron,1949.00,1050.36,0.00,353.60,353.60,SENorway,mountain,3.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
