art,knr2017,xftot,kommune2017,fylkesnr,aar,region,bestv,NT,kalvprs,okseprs,kuprs,okseavad,sum,kalvprku,svekt_o,svekt_ku,svekt_ka,oksevekt,kuvekt,kalvvekt,moksev,mkuv,mkalvv,skalvvekt,vkalvvekt,mskalvv,mvkalvv,LANDKAT,ALTREG,reg,kommune,bestandsvekst,vinterbest,snittbest,lnfelt,lnvbest,hrate,Høstingsrate,Tilvekstrate,antkg,antmkg,utmar,TOTBAR
rå,101,58.66666667,Halden,1,1949,2,0.088,0.2,0.3,0.35,0.35,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,28,27,15,12.17,11.84,7.62,#NULL!,#NULL!,#NULL!,#NULL!,SENorway,inlandlow,2,Halden,0.091978159,543.1000423,562.6555979,4.071871706,6.297293543,0.108021841,0.108021841,0.2,13363.07045,6014.507013,535.04,11.24122872
rå,104,2.333333333,Moss,1,1949,2,0.088,0.2,0.3,0.35,0.35,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,28,27,15,12.17,11.84,7.62,#NULL!,#NULL!,#NULL!,#NULL!,SENorway,inlandlow,2,Moss,0.091978159,21.60056986,22.37834764,0.84729786,3.072719697,0.108021841,0.108021841,0.2,531.4857565,239.2133471,50.12,4.772812193
rå,105,9.333333333,Sarpsborg,1,1949,2,0.088,0.2,0.3,0.35,0.35,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,28,27,15,12.17,11.84,7.62,#NULL!,#NULL!,#NULL!,#NULL!,SENorway,inlandlow,2,Sarpsborg,0.091978159,86.40227946,89.51339057,2.233592222,4.459014058,0.108021841,0.108021841,0.2,2125.943026,956.8533885,288.05,3.321830892
rå,106,2.666666667,Fredrikstad,1,1949,2,0.088,0.2,0.3,0.35,0.35,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,28,27,15,12.17,11.84,7.62,#NULL!,#NULL!,#NULL!,#NULL!,SENorway,inlandlow,2,Fredrikstad,0.091978159,24.68636556,25.57525445,0.980829253,3.20625109,0.108021841,0.108021841,0.2,607.4122931,273.3866824,210.44,1.29911938
rå,111,0,Hvaler,1,1949,2,0.088,0.2,0.3,0.35,0.35,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,28,27,15,12.17,11.84,7.62,#NULL!,#NULL!,#NULL!,#NULL!,SENorway,inlandlow,2,Hvaler,0.091978159,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,83.92,#NULL!
rå,118,14.66666667,Aremark,1,1949,2,0.088,0.2,0.3,0.35,0.35,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,28,27,15,12.17,11.84,7.62,#NULL!,#NULL!,#NULL!,#NULL!,SENorway,inlandlow,2,Aremark,0.091978159,135.7750106,140.6638995,2.685577345,4.910999182,0.108021841,0.108021841,0.2,3340.767612,1503.626753,264.42,5.686509165
rå,119,13.66666667,Marker,1,1949,2,0.088,0.2,0.3,0.35,0.35,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,28,27,15,12.17,11.84,7.62,#NULL!,#NULL!,#NULL!,#NULL!,SENorway,inlandlow,2,Marker,0.091978159,126.5176235,131.073179,2.614959778,4.840381615,0.108021841,0.108021841,0.2,3112.988002,1401.106747,326.62,4.289715104
rå,121,4.333333333,Rømskog,1,1949,2,0.088,0.2,0.3,0.35,0.35,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,28,27,15,12.17,11.84,7.62,#NULL!,#NULL!,#NULL!,#NULL!,SENorway,inlandlow,2,Rømskog,0.091978159,40.11534403,41.55978848,1.466337069,3.691758905,0.108021841,0.108021841,0.2,987.0449763,444.2533589,156.3,2.842311957
rå,122,4.666666667,Trøgstad,1,1949,2,0.088,0.2,0.3,0.35,0.35,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,28,27,15,12.17,11.84,7.62,#NULL!,#NULL!,#NULL!,#NULL!,SENorway,inlandlow,2,Trøgstad,0.091978159,43.20113973,44.75669528,1.540445041,3.765866877,0.108021841,0.108021841,0.2,1062.971513,478.4266942,121.27,3.945136425
rå,123,24.66666667,Spydeberg,1,1949,2,0.088,0.2,0.3,0.35,0.35,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,28,27,15,12.17,11.84,7.62,#NULL!,#NULL!,#NULL!,#NULL!,SENorway,inlandlow,2,Spydeberg,0.091978159,228.3488814,236.5711036,3.205452805,5.430874641,0.108021841,0.108021841,0.2,5618.563711,2528.826812,96.12,26.30905964
rå,124,0,Askim,1,1949,2,0.088,0.2,0.3,0.35,0.35,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,28,27,15,12.17,11.84,7.62,#NULL!,#NULL!,#NULL!,#NULL!,SENorway,inlandlow,2,Askim,0.091978159,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,39.16,#NULL!
rå,125,2,Eidsberg,1,1949,2,0.088,0.2,0.3,0.35,0.35,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,28,27,15,12.17,11.84,7.62,#NULL!,#NULL!,#NULL!,#NULL!,SENorway,inlandlow,2,Eidsberg,0.091978159,18.51477417,19.18144084,0.693147181,2.918569017,0.108021841,0.108021841,0.2,455.5592199,205.0400118,151.91,1.349746638
rå,127,4,Skiptvet,1,1949,2,0.088,0.2,0.3,0.35,0.35,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,28,27,15,12.17,11.84,7.62,#NULL!,#NULL!,#NULL!,#NULL!,SENorway,inlandlow,2,Skiptvet,0.091978159,37.02954834,38.36288167,1.386294361,3.611716198,0.108021841,0.108021841,0.2,911.1184397,410.0800236,56.69,7.233727706
rå,128,20.66666667,Rakkestad,1,1949,2,0.088,0.2,0.3,0.35,0.35,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,28,27,15,12.17,11.84,7.62,#NULL!,#NULL!,#NULL!,#NULL!,SENorway,inlandlow,2,Rakkestad,0.091978159,191.3193331,198.208222,3.028522096,5.253943933,0.108021841,0.108021841,0.2,4707.445272,2118.746789,306.31,6.917001694
rå,135,1.333333333,Råde,1,1949,2,0.088,0.2,0.3,0.35,0.35,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,28,27,15,12.17,11.84,7.62,#NULL!,#NULL!,#NULL!,#NULL!,SENorway,inlandlow,2,Råde,0.091978159,12.34318278,12.78762722,0.287682072,2.513103909,0.108021841,0.108021841,0.2,303.7061466,136.6933412,69.64,1.962856709
rå,136,0,Rygge,1,1949,2,0.088,0.2,0.3,0.35,0.35,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,28,27,15,12.17,11.84,7.62,#NULL!,#NULL!,#NULL!,#NULL!,SENorway,inlandlow,2,Rygge,0.091978159,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,42.12,#NULL!
rå,137,13.33333333,Våler,1,1949,2,0.088,0.2,0.3,0.35,0.35,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,28,27,15,12.17,11.84,7.62,#NULL!,#NULL!,#NULL!,#NULL!,SENorway,inlandlow,2,Våler,0.091978159,123.4318278,127.8762722,2.590267165,4.815689002,0.108021841,0.108021841,0.2,3037.061466,1366.933412,203.09,6.730678084
